"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PVEM"," PT"," MOVIMIENTO CIUDADANO"," NUEVA ALIANZA"," MORENA"," PARTIDO HUMANISTA"," ENCUENTRO SOCIAL"," PAN-NUEVA ALIANZA"," PRI PVEM"," PRD PT"," CANDIDATO INDEPENDIENTE 1"," CANDIDATO INDEPENDIENTE 2"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL","OBSERVACIONES"
"14","JALISCO","4","ZAPOPAN","131","467","17,198","40,579","2,040","4,272","2,480","45,314","4,156","4,220","3,254","4,770",,"893",,,,"87","4,388","133,651","296,965","SG-JIN-42-2015 SG-JIN-43-2015 SUP-REC-468-2015"
"14","JALISCO","5","PUERTO VALLARTA","197","530","32,331","46,711","7,321","4,402","3,999","56,705","2,733","3,885","2,977","1,697",,"1,778",,,,"86","4,202","168,827","308,837",
"14","JALISCO","6","ZAPOPAN","195","556","34,563","38,536","1,993","5,268","2,096","55,667","3,999","4,832","3,835","6,918",,"1,143",,,,"279","5,783","164,912","344,729","SG-JIN-19-2015"
"14","JALISCO","7","TONALA","81","445","17,789","38,869","2,823","5,298","4,139","31,475","4,724","3,867","3,319","4,654",,"707",,,,"75","3,827","121,566","302,027",
"14","JALISCO","8","GUADALAJARA","251","452","24,799","32,015","1,958","3,665","2,043","54,118","3,893","4,339","2,712","4,725",,"1,067",,,,"166","4,873","140,373","242,020",
"14","JALISCO","9","GUADALAJARA","159","410","14,468","34,682","2,111","4,014","2,743","51,319","5,211","3,922","3,079","3,622",,"823",,,,"114","3,990","130,098","244,505","SG-JIN-7-2015 SG-JIN-8-2015 SUP-REC-297-2015"
"14","JALISCO","10","ZAPOPAN","122","457","28,506","25,764","1,981","5,263","1,826","49,916","3,645","5,087","3,576","6,794",,"1,269",,,,"280","6,141","140,048","292,739",
"14","JALISCO","11","GUADALAJARA","174","412","12,377","35,271","2,103","3,578","2,788","53,071","4,866","3,759","2,435","3,007",,"854",,,,"64","3,559","127,732","247,222",
"14","JALISCO","12","TLAJOMULCO DE ZUÑIGA","196","776","24,841","51,773","18,105","7,410","5,379","88,206","4,891","6,998","3,626","7,861",,"1,749",,,,"119","6,805","227,763","501,359","SG-JIN-2-2015 SG-JIN-16-2015 SUP-REC-295-2015"
"14","JALISCO","13","GUADALAJARA","230","453","18,066","34,494","1,988","4,592","2,530","55,148","4,565","4,108","2,818","4,049",,"1,104",,,,"110","4,224","137,796","248,951",
"14","JALISCO","14","GUADALAJARA","167","413","19,481","26,017","2,109","5,876","2,438","56,405","3,295","3,651","2,048","4,546",,"1,802",,,,"115","4,128","131,911","246,013","SG-JIN-18-2015 SUP-REC-337-2015"
"14","JALISCO","15","LA BARCA","193","472","40,174","54,443","5,800","6,434","1,968","17,496","5,630","3,653","2,867","7,799",,"661",,,,"63","4,300","151,288","275,082",
"14","JALISCO","16","SAN PEDRO TLAQUEPAQUE","158","486","17,253","36,885","2,257","4,962","2,556","46,418","3,909","4,291","2,999","4,445",,"1,963",,,,"80","4,018","132,036","300,472","SG-JIN-36-2015 SUP-REC-344-2015"
"14","JALISCO","17","JOCOTEPEC","205","508","33,652","54,014","6,963","9,700","3,359","48,571","4,615","6,881","1,367","2,179",,"1,757",,,,"51","4,798","177,907","294,599","SG-JIN-17-2015 SUP-REC-298-2015"
"14","JALISCO","18","AUTLAN DE NAVARRO","233","505","37,904","57,365","10,518","3,924","2,461","32,167","6,731","4,795","4,608","1,936",,"925",,,,"30","4,676","168,040","283,805","SG-JIN-5-2015 SUP-REC-296-2015"
"14","JALISCO","19","ZAPOTLAN EL GRANDE","242","504","34,579","48,719","18,430","4,844","3,561","29,111","8,173","7,011","4,228","3,173",,"1,267",,,,"65","5,124","168,285","273,670","SG-JIN-4-2015"
"15","MEXICO","1","JILOTEPEC","189","467","35,190","69,304","7,648","5,093","7,342","5,722","16,688","6,766","1,784","2,770",,"1,283",,,,"58","6,073","165,721","253,247","ST-JIN-62-2015 SUP-REC-254-2015"
"15","MEXICO","2","TEOLOYUCAN","156","479","37,467","47,648","14,371","3,731","4,292","22,052","4,694","11,220","4,728","6,320",,"1,582",,,,"131","5,360","163,596","297,786","ST-JIN-24-2015 SUP-REC-280-2015"
"15","MEXICO","3","ATLACOMULCO","162","437","30,637","58,273","13,945","2,703","7,530","3,273","6,534","6,140","1,961","3,049",,"1,915",,,,"86","5,832","141,878","242,858","ST-JIN-18-2015 SUP-REC-249-2015"
"15","MEXICO","4","NICOLAS ROMERO","153","545","41,738","51,037","7,927","4,968","2,591","6,886","7,723","18,519","5,094","7,566",,"1,385",,,,"201","6,208","161,843","345,366","ST-JIN-41-2015 ST-JIN-42-2015 SUP-REC-284-2015"
"15","MEXICO","5","TEOTIHUACAN","176","536","30,158","73,446","22,234","4,564","14,482","7,713","4,844","23,388","4,759","8,072",,"1,237",,,,"138","6,462","201,497","327,498","ST-JIN-40-2015 SUP-REC-252-2015"
"15","MEXICO","6","COACALCO DE BERRIOZABAL","136","493","22,018","41,398","32,405","5,487","2,686","5,703","4,913","18,302","4,126","10,101",,"1,356",,,,"258","6,634","155,387","319,401","ST-JIN-81-2015 ST-JIN-82-2015 SUP-REC-290-2015"
"15","MEXICO","7","CUAUTITLAN IZCALLI","205","505","40,266","36,565","7,061","5,112","5,191","6,206","6,591","20,493","5,994","11,650",,"978",,,,"280","7,879","154,266","301,033","ST-JIN-56-2015 ST-JIN-57-2015 ST-JIN-58-2015 SUP-REC-288-2015 SUP-REC-372-2015"
"15","MEXICO","8","TULTITLAN","125","373","11,095","25,716","16,892","3,806","4,255","6,124","3,708","12,720","3,558","6,558",,"1,143",,,,"156","5,290","101,021","229,889","ST-JIN-26-2015 ST-JIN-27-2015 SUP-REC-250-2015"
"15","MEXICO","9","IXTLAHUACA","141","476","22,154","71,174","5,829","6,273","4,936","18,822","6,511","8,667","3,394","5,592",,"1,205",,,,"89","7,383","162,029","293,827","ST-JIN-9-2015 SUP-REC-278-2015"
"15","MEXICO","10","ECATEPEC DE MORELOS","188","530","9,833","41,456","23,523","5,748","3,988","4,046","5,335","16,678","4,433","8,919",,"992",,,,"200","7,036","132,187","327,201","ST-JIN-80-2015 SUP-REC-289-2015"
"15","MEXICO","11","ECATEPEC DE MORELOS","151","414","11,490","30,918","17,212","4,130","3,142","3,782","5,310","16,246","4,059","7,214",,"926",,,,"224","6,474","111,127","248,436","ST-JIN-36-2015 SUP-REC-282-2015"
"15","MEXICO","12","IXTAPALUCA","242","610","9,414","72,071","43,048","4,610","1,838","5,925","3,580","11,950","3,131","6,924",,"2,179",,,,"162","6,457","171,289","370,410","ST-JIN-12-2015 ST-JIN-46-2015 SUP-REC-285-2015"
"15","MEXICO","13","ECATEPEC DE MORELOS","170","392","8,019","30,757","11,694","4,646","2,276","2,549","4,133","15,988","2,922","6,191",,"1,013",,,,"127","5,328","95,643","228,032","ST-JIN-21-2015 ST-JIN-22-2015 SUP-REC-279-2015"
"15","MEXICO","14","ATIZAPAN DE ZARAGOZA","114","437","37,817","29,635","5,339","4,179","1,686","3,221","4,261","12,471","2,969","7,322",,"918",,,,"191","5,924","115,933","282,181","ST-JIN-59-2015 ST-JIN-60-2015 ST-JIN-61-2015 SUP-REC-267-2015 SUP-REC-291-2015 SUP-REC-464-2015"
"15","MEXICO","15","TLALNEPANTLA DE BAZ","166","432","43,406","25,654","5,841","4,705","1,613","4,021","3,924","13,074","3,808","7,608",,"1,140",,,,"318","8,075","123,187","260,618","ST-JIN-47-2015 SUP-REC-253-2015"
"15","MEXICO","16","ECATEPEC DE MORELOS","137","465","13,504","35,171","18,172","5,156","4,108","2,843","4,511","15,503","3,941","6,158",,"1,141",,,,"127","6,181","116,516","301,772","ST-JIN-32-2015 SUP-REC-251-2015"
"15","MEXICO","17","ECATEPEC DE MORELOS","178","421","7,606","31,083","15,373","4,343","2,361","2,733","4,769","14,482","3,315","7,320",,"828",,,,"196","5,892","100,301","243,834","ST-JIN-37-2015 ST-JIN-38-2015 ST-JIN-39-2015 SUP-REC-283-2015 SUP-REC-370-2015"
"15","MEXICO","18","HUIXQUILUCAN","151","500","56,218","65,116","12,358","4,768","3,269","5,763","4,245","11,528","3,718","5,818",,"1,523",,,,"184","7,103","181,611","315,967","ST-JIN-93-2015 ST-JIN-94-2015 SUP-REC-256-2015"
"15","MEXICO","19","TLALNEPANTLA DE BAZ","188","417","24,945","28,262","10,339","3,513","1,700","3,253","3,864","12,767","3,694","7,025",,"943",,,,"236","6,349","106,890","237,483","ST-JIN-44-2015 ST-JIN-45-2015 ST-JIN-48-2015 SUP-REC-266-2015"
"15","MEXICO","20","NEZAHUALCOYOTL","155","349","5,603","20,524","37,644","2,638","1,287","2,006","2,528","12,334","2,151","4,593",,"265",,,,"183","5,025","96,781","206,037","ST-JIN-90-2015 ST-JIN-91-2015 ST-JIN-92-2015 SUP-REC-255-2015 SUP-REC-342-2015 SUP-REC-377-2015"
"15","MEXICO","21","NAUCALPAN DE JUAREZ","129","391","39,917","26,496","5,031","3,662","1,614","4,559","3,077","11,272","2,961","5,286",,"1,107",,,,"210","5,805","110,997","243,365","ST-JIN-17-2015 SUP-REC-262-2015"
"15","MEXICO","22","NAUCALPAN DE JUAREZ","193","366","33,626","23,095","4,128","3,419","1,275","2,728","3,047","10,775","3,007","5,274",,"789",,,,"183","5,263","96,609","202,057","ST-JIN-97-2015 ST-JIN-98-2015 SUP-REC-273-2015"
"15","MEXICO","23","VALLE DE BRAVO","181","488","31,576","78,646","25,645","5,002","11,766","5,227","7,507","5,324","4,481","2,903",,"1,171",,,,"45","6,223","185,516","282,311","ST-JIN-4-2015 SUP-REC-257-2015"
"15","MEXICO","24","NAUCALPAN DE JUAREZ","131","353","20,671","25,206","6,022","3,647","1,495","2,880","3,044","12,568","2,592","4,537",,"1,113",,,,"114","4,416","88,305","213,961","ST-JIN-99-2015 ST-JIN-100-2015 SUP-REC-274-2015"
"15","MEXICO","25","CHIMALHUACAN","105","430","4,597","35,334","14,225","3,934","2,252","1,692","3,297","15,361","2,729","4,928",,"969",,,,"111","4,025","93,454","283,654","ST-JIN-53-2015 ST-JIN-54-2015 ST-JIN-55-2015 SUP-REC-287-2015 SUP-REC-371-2015"
"15","MEXICO","26","TOLUCA","157","481","33,465","52,810","8,506","5,015","6,197","7,197","7,299","10,732","4,844","8,594",,"1,043",,,,"199","7,125","153,026","306,502","ST-JIN-25-2015 SUP-REC-281-2015"
"15","MEXICO","27","METEPEC","135","466","35,934","61,524","6,077","4,248","17,737","6,469","5,827","12,004","7,228","7,026",,"964",,,,"251","7,038","172,327","293,137","ST-JIN-11-2015 SUP-REC-259-2015"
"15","MEXICO","28","ZUMPANGO","216","676","35,492","87,636","18,048","7,028","5,267","6,911","9,104","23,354","6,326","13,063",,"1,992",,,,"265","9,357","223,843","431,494","ST-JIN-95-2015 ST-JIN-96-2015 SUP-REC-272-2015"
"15","MEXICO","29","NEZAHUALCOYOTL","183","378","4,184","25,871","45,402","2,673","1,250","1,605","2,178","9,355","2,071","3,560",,"1,048",,,,"129","4,466","103,792","209,405","ST-JIN-71-2015 ST-JIN-72-2015 ST-JIN-73-2015 SUP-REC-269-2015 SUP-REC-374-2015"
"15","MEXICO","30","NEZAHUALCOYOTL","175","384","3,685","22,059","48,750","2,878","1,482","1,699","2,191","9,802","2,217","3,837",,"454",,,,"128","4,416","103,598","216,692","ST-JIN-87-2015 ST-JIN-88-2015 SUP-REC-271-2015 SUP-REC-375-2015"
"15","MEXICO","31","NEZAHUALCOYOTL","167","377","2,698","19,934","51,075","3,107","1,107","1,885","2,259","8,076","2,300","3,643",,"548",,,,"178","4,255","101,065","214,236","ST-JIN-13-2015 ST-JIN-14-2015 ST-JIN-15-2015 SUP-REC-260-2015 SUP-REC-369-2015"
"15","MEXICO","32","VALLE DE CHALCO SOLIDARIDAD","115","391","3,796","25,864","26,135","2,976","1,285","16,272","2,593","25,745","2,718","5,011",,"581",,,,"76","5,428","118,480","247,881","ST-JIN-19-2015 ST-JIN-20-2015 SUP-REC-263-2015"
"15","MEXICO","33","CHALCO","169","531","16,425","58,870","24,422","4,962","5,009","24,298","4,396","15,662","3,881","15,099",,"1,202",,,,"113","7,306","181,645","332,038",
"15","MEXICO","34","TOLUCA","146","450","36,076","47,738","9,729","4,732","6,566","5,073","5,829","11,041","5,309","7,774",,"1,076",,,,"215","7,099","148,257","282,276","ST-JIN-28-2015 ST-JIN-29-2015 SUP-REC-264-2015"
"15","MEXICO","35","TENANCINGO","145","436","27,487","49,807","22,200","3,047","6,807","7,016","5,844","13,440","5,429","6,179",,"667",,,,"108","6,602","154,633","260,667","ST-JIN-10-2015 SUP-REC-258-2015"
"15","MEXICO","36","TEJUPILCO","250","495","35,295","68,975","44,919","1,539","4,325","2,852","2,581","5,059","834","733",,"975",,,,"40","5,002","173,129","238,802","ST-JIN-65-2015 ST-JIN-66-2015 SUP-REC-268-2015"
"15","MEXICO","37","CUAUTITLAN","128","429","22,169","35,228","19,110","3,955","4,489","11,297","4,063","13,822","4,716","9,109",,"876",,,,"172","5,721","134,727","272,319","ST-JIN-76-2015 ST-JIN-86-2015 SUP-REC-270-2015"
"15","MEXICO","38","TEXCOCO","137","478","4,765","43,395","13,673","3,715","1,939","3,074","3,462","58,157","3,884","5,221",,"1,125",,,,"120","5,247","147,777","304,664","ST-JIN-16-2015 SUP-REC-261-2015"
"15","MEXICO","39","LA PAZ","152","475","5,607","47,995","28,469","4,093","3,286","3,172","3,832","18,931","4,833","10,682",,"957",,,,"152","6,171","138,180","296,638","ST-JIN-51-2015 ST-JIN-52-2015 SUP-REC-286-2015 SUP-REC-477-2015"
"15","MEXICO","40","ZINACANTEPEC","142","428","26,159","54,509","21,076","3,196","12,632","6,939","6,572","6,203","5,440","4,745",,"987",,,,"98","6,320","154,876","259,240","ST-JIN-35-2015 SUP-REC-265-2015"
"16","MICHOACAN","1","LAZARO CARDENAS","181","446","10,864","46,966","43,092","4,745","1,855","2,600","2,152","6,708","1,750","1,648",,"492","467",,,"42","5,402","128,783","248,856","ST-JIN-33-2015 ST-JIN-34-2015"
"16","MICHOACAN","2","PURUANDIRO","289","546","23,106","46,271","48,762","5,705","16,635","4,660","4,467","5,665","2,018","2,416",,"631","823",,,"63","7,314","168,536","300,081",
"16","MICHOACAN","3","ZITACUARO","231","442","17,758","49,658","43,899","7,893","5,738","5,852","2,910","5,158","1,410","1,415",,"1,689","1,564",,,"35","6,186","151,165","238,679","ST-JIN-5-2015 SUP-REC-275-2015"
"16","MICHOACAN","4","JIQUILPAN","257","512","36,450","45,391","31,372","11,816","4,318","8,290","2,608","3,666","1,036","2,729",,"443","319",,,"44","5,574","154,056","265,650","ST-JIN-67-2015 ST-JIN-68-2015 SUP-REC-277-2015"
"16","MICHOACAN","5","ZAMORA","225","498","34,492","36,197","19,316","6,975","6,482","3,968","3,378","10,794","2,064","2,759",,"839","362",,,"141","5,585","133,352","279,974","ST-JIN-69-2015 ST-JIN-70-2015 SUP-REC-341-2015"
"16","MICHOACAN","6","HIDALGO","220","482","27,757","37,188","40,499","5,826","7,867","11,023","5,140","5,099","1,529","2,001",,"796","631",,,"45","7,072","152,473","268,188","ST-JIN-49-2015 ST-JIN-50-2015"
"16","MICHOACAN","7","ZACAPU","227","477","26,593","41,272","42,367","7,183","6,273","8,959","3,641","7,963","2,372","4,582",,"514","805",,,"52","8,257","160,833","265,306","ST-JIN-101-2015 ST-JIN-102-2015 SUP-REC-475-2015 SUP-REC-487-2015 SUP-REC-500-2015"
"16","MICHOACAN","8","MORELIA","145","472","24,814","33,743","19,901","7,956","3,602","4,481","3,048","8,496","3,646","4,902",,"959","609",,,"253","9,844","126,254","292,391","ST-JIN-7-2015 ST-JIN-8-2015 SUP-REC-340-2015"
"16","MICHOACAN","9","URUAPAN","188","482","25,892","34,652","39,910","6,663","2,138","2,886","5,005","7,078","4,326","1,637",,"493","758",,,"144","6,664","138,246","279,402","ST-JIN-77-2015 ST-JIN-78-2015 ST-JIN-79-2015 SUP-REC-460-2015"
"16","MICHOACAN","10","MORELIA","204","464","38,305","33,152","16,952","8,353","3,967","4,804","2,354","9,155","4,016","4,346",,"1,164","515",,,"286","10,622","137,991","266,319","ST-JIN-30-2015 ST-JIN-31-2015 SUP-REC-276-2015"
"16","MICHOACAN","11","PATZCUARO","271","505","17,753","50,078","57,542","7,168","5,468","3,220","3,070","6,268","1,472","1,360",,"1,221","1,142",,,"71","8,789","164,622","273,328","ST-JIN-64-2015"
"16","MICHOACAN","12","APATZINGAN","225","450","22,294","30,316","33,888","9,634","4,949","12,124","2,589","7,499","1,699","2,659",,"710","848",,,"31","5,508","134,748","245,304","ST-JIN-103-2015 ST-JIN-104-2015 ST-JIN-105-2015 SUP-REC-463-2015"
"17","MORELOS","1","CUERNAVACA","203","501","30,703","22,485","16,388","11,201","3,104","9,175","6,357","19,000","7,444","9,674",,,"206",,,"430","12,838","149,005","295,341","SDF-JIN-4-2015 SDF-JIN-45-2015 SDF-JIN-46-2015 SDF-JIN-47-2015 SDF-JIN-65-2015 SUP-REC-354-2015"
"17","MORELOS","2","JIUTEPEC","135","481","14,116","20,124","25,702","20,642","2,603","8,824","5,515","15,509","19,545","7,378",,,"236",,,"183","9,125","149,502","300,727","SDF-JIN-115-2015 SDF-JIN-116-2015 SDF-JIN-117-2015"
"17","MORELOS","3","CUAUTLA","190","468","12,971","30,601","28,591","7,662","10,880","12,026","15,148","12,874","6,885","8,530",,,"576",,,"127","9,733","156,604","276,056",
"17","MORELOS","4","JOJUTLA","192","435","7,203","47,302","19,086","7,492","13,748","17,731","6,316","9,638","5,640","5,240",,,"319",,,"66","8,059","147,840","244,653",
"17","MORELOS","5","YAUTEPEC","187","439","11,852","21,805","20,585","12,992","3,961","7,135","25,057","11,190","18,644","6,815",,,"182",,,"357","9,246","149,821","251,859","SDF-JIN-78-2015 SUP-REC-357-2015"
"18","NAYARIT","1","SANTIAGO IXCUINTLA","349","489","7,317","45,106","22,714","2,961","2,893","5,757","2,179","3,907","570","729",,,"1,010",,,"12","3,703","98,858","220,113","SG-JIN-40-2015 SUP-REC-324-2015"
"18","NAYARIT","2","TEPIC","297","526","21,500","35,579","25,605","4,495","3,643","1,156","3,499","5,186","1,633","2,267",,,"1,040","8,984",,"86","4,991","119,664","283,064","SG-JIN-62-2015 SUP-REC-379-2015"
"18","NAYARIT","3","COMPOSTELA","303","556","32,216","47,430","3,808","4,903","2,505","3,476","3,144","5,541","1,186","1,735",,,"214",,,"39","4,996","111,193","290,366","SG-JIN-41-2015 SUP-REC-325-2015"
"19","NUEVO LEON","1","SANTA CATARINA","149","466","76,468","29,111","2,228","7,330","2,452","29,385","7,228","3,947","7,837","3,131",,"356","44",,,"146","4,740","174,403","295,241",
"19","NUEVO LEON","2","APODACA","288","628","56,277","61,708","3,565","11,692","4,114","27,590","7,921","5,472","5,505","5,355",,"366","10",,,"119","3,997","193,691","360,935","SM-JIN-18-2015 SM-JIN-42-2015 SUP-REC-394-2015"
"19","NUEVO LEON","3","GRAL. ESCOBEDO","199","579","60,148","55,739","3,576","9,777","5,132","30,323","6,699","5,773","6,364","6,501",,"494","23",,,"134","4,912","195,595","355,132","SM-JIN-31-2015 SM-JIN-32-2015 SUP-REC-386-2015"
"19","NUEVO LEON","4","SAN NICOLAS DE LOS GARZA","164","441","79,521","23,974","1,853","7,026","2,618","20,009","5,167","4,280","3,902","5,196",,"294","8",,,"78","3,497","157,423","259,074","SM-JIN-4-2015 SUP-REC-389-2015"
"19","NUEVO LEON","5","MONTERREY","111","378","25,006","46,794","1,836","5,738","14,159","10,694","3,999","2,794","3,388","8,642",,"677","36",,,"90","4,319","128,172","243,039","SM-JIN-14-2015"
"19","NUEVO LEON","6","MONTERREY","128","374","53,227","30,662","2,218","5,625","5,837","28,055","5,264","4,375","4,972","5,748",,"368","81",,,"81","4,328","150,841","231,085",
"19","NUEVO LEON","7","MONTERREY","288","407","38,189","36,036","2,101","5,214","4,365","16,708","3,773","3,761","3,581","4,568",,"419","40",,,"58","3,635","122,448","203,839","SM-JIN-6-2015"
"19","NUEVO LEON","8","GUADALUPE","171","434","50,917","43,109","1,954","7,198","1,996","15,330","4,653","3,685","2,497","3,412",,"612","15","15,162",,"78","3,465","154,083","255,695","SM-JIN-57-2015 SM-JIN-72-2015 SM-JIN-73-2015 SM-JIN-74-2015 SUP-REC-508-2015"
"19","NUEVO LEON","9","LINARES","292","540","60,053","76,187","1,320","4,178","6,199","5,672","15,813","2,061","3,565","3,768",,"629","18",,,"66","7,381","186,910","288,905","SM-JIN-70-2015 SM-JIN-71-2015 SUP-REC-336-2015"
"19","NUEVO LEON","10","MONTERREY","181","398","52,185","27,789","2,095","6,100","3,687","24,682","4,841","5,445","4,164","4,162",,"451","16",,,"91","3,984","139,692","226,757","SM-JIN-5-2015 SUP-REC-304-2015"
"19","NUEVO LEON","11","GUADALUPE","122","424","55,129","41,397","2,235","6,415","2,493","19,291","6,336","4,662","4,170","5,116",,"549","20",,,"75","3,991","151,879","268,191","SM-JIN-45-2015 SUP-REC-306-2015"
"19","NUEVO LEON","12","CADEREYTA JIMENEZ","509","1,029","87,245","102,205","15,755","25,489","6,407","20,180","15,375","6,427","9,234","26,387",,"1,775","305",,,"280","8,962","326,026","573,302","SM-JIN-62-2015 SM-JIN-63-2015 SUP-REC-393-2015"
"20","OAXACA","1","SAN JUAN BAUTISTA TUXTEPEC","196","429","11,576","40,520","24,071","3,979","2,542","3,716","1,826","17,078","1,004","949",,,"938",,,"37","3,878","112,114","232,591","SX-JIN-4-2015 SX-JIN-52-2015 SX-JIN-53-2015 SX-JIN-54-2015 SX-JIN-55-2015 SX-JIN-121-2015 SUP-REC-330-2015"
"20","OAXACA","2","TEOTITLAN DE FLORES MAGON","194","367","6,353","23,260","9,542","1,667","1,226","1,207","12,717","12,391","487","333",,,"128",,,"7","2,806","72,124","187,018","SX-JIN-43-2015 SX-JIN-44-2015 SX-JIN-45-2015 SX-JIN-46-2015 SX-JIN-47-2015 SX-JIN-48-2015 SX-JIN-49-2015 SX-JIN-50-2015 SX-JIN-51-2015 SUP-REC-471-2015"
"20","OAXACA","3","HEROICA CIUDAD DE HUAJUAPAN DE LEON","282","520","6,484","25,263","18,039","4,410","1,885","1,530","2,275","10,655","1,327","2,159",,,"714",,,"54","5,708","80,503","266,777","SX-JIN-18-2015"
"20","OAXACA","4","TLACOLULA DE MATAMOROS","256","480","14,694","26,436","6,577","4,941","3,839","1,298","3,122","18,620","1,290","3,500",,,"260",,,"58","6,626","91,261","244,703","SX-JIN-84-2015 SX-JIN-85-2015"
"20","OAXACA","5","SANTO DOMINGO TEHUANTEPEC","187","418","3,417","22,831","23,897","1,432","1,552","2,509","1,036","7,630","976","20,591",,,"645",,,"57","4,078","90,651","240,762","SX-JIN-109-2015 SX-JIN-110-2015 SX-JIN-111-2015 SX-JIN-112-2015 SX-JIN-113-2015 SUP-REC-492-2015"
"20","OAXACA","6","HEROICA CIUDAD DE TLAXIACO","291","502","2,708","26,994","37,952","2,293","2,322","927","1,435","18,004","609","621",,,"941",,,"36","5,330","100,172","245,030","SX-JIN-65-2015"
"20","OAXACA","7","HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA","215","450","2,724","21,724","14,796","2,932","1,493","387","1,468","7,362","592","3,621",,,"280",,,"20","2,958","60,357","238,336","SX-JIN-1-2015 SX-JIN-86-2015 SX-JIN-87-2015 SX-JIN-88-2015 SX-JIN-89-2015 SX-JIN-90-2015 SX-JIN-91-2015 SX-JIN-92-2015 SX-JIN-93-2015 SX-JIN-94-2015 SUP-REC-483-2015"
"20","OAXACA","8","OAXACA DE JUAREZ","171","472","11,268","22,951","19,425","8,170","2,972","1,640","4,331","12,758","2,388","5,473",,,"732",,,"221","8,153","100,482","286,362","SX-JIN-122-2015 SX-JIN-123-2015 SX-JIN-124-2015 SUP-REC-481-2015 SUP-REC-482-2015"
"20","OAXACA","9","SANTA LUCIA DEL CAMINO","199","458","18,132","18,675","22,050","6,889","2,532","1,302","2,833","17,124","1,782","2,819",,,"536",,,"85","7,878","102,637","262,210","SX-JIN-81-2015 SX-JIN-82-2015 SX-JIN-83-2015"
"20","OAXACA","10","MIAHUATLAN DE PORFIRIO DIAZ","211","433","18,901","33,011","9,208","2,786","1,681","12,075","1,729","7,262","828","588",,,"207",,,"30","4,981","93,287","232,308","SX-JIN-95-2015 SX-JIN-96-2015 SUP-REC-491-2015"
"20","OAXACA","11","SANTIAGO PINOTEPA NACIONAL","186","453","2,834","31,393","18,641","1,964","1,316","903","1,746","7,402","903","375",,,"344",,,"14","3,535","71,370","281,650","SX-JIN-114-2015 SX-JIN-115-2015 SX-JIN-116-2015 SX-JIN-117-2015 SUP-REC-488-2015"
"21","PUEBLA","1","HUAUCHINANGO","178","469","53,847","53,379","4,195","2,806","2,534","1,806","4,466","7,291","1,099","1,505",,"3,586",,,,"77","7,593","144,184","258,750","SDF-JIN-30-2015"
"21","PUEBLA","2","ZACATLAN","161","432","43,441","60,193","3,991","3,162","2,200","1,033","3,241","5,745","1,298","1,479",,"3,635",,,,"54","6,129","135,601","247,532","SDF-JIN-96-2015 SDF-JIN-97-2015"
"21","PUEBLA","3","TEZIUTLAN","171","426","50,634","36,820","3,935","3,374","2,664","2,263","3,211","5,975","1,201","1,541",,"2,293",,,,"60","5,537","119,508","242,593",
"21","PUEBLA","4","ZACAPOAXTLA","180","449","44,654","37,007","4,603","2,736","3,921","2,359","3,421","9,548","1,103","1,001",,"2,515",,,,"34","6,182","119,084","247,211","SDF-JIN-84-2015 SDF-JIN-85-2015 SUP-REC-453-2015"
"21","PUEBLA","5","SAN MARTIN TEXMELUCAN","143","417","25,786","16,837","2,494","4,372","4,533","9,973","2,767","8,041","3,350","2,361",,"1,867",,,,"136","4,469","86,986","260,068","SDF-JIN-13-2015 SUP-REC-473-2015"
"21","PUEBLA","6","PUEBLA","164","486","25,073","21,397","2,511","5,309","1,863","3,097","3,524","15,332","2,830","4,946",,"2,091",,"5,159",,"217","7,205","100,554","301,572","SDF-JIN-21-2015 SDF-JIN-110-2015"
"21","PUEBLA","7","TEPEACA","117","409","32,828","47,396","1,719","2,974","1,460","1,275","2,702","7,792","1,073","2,042",,"3,390",,,,"44","4,274","108,969","254,009","SDF-JIN-50-2015 SDF-JIN-68-2015 SUP-REC-517-2015"
"21","PUEBLA","8","CHALCHICOMULA DE SESMA","140","378","31,353","21,072","11,624","3,302","1,950","1,460","3,046","8,307","1,777","1,075",,"1,310",,,,"43","4,343","90,662","222,950","SDF-JIN-51-2015"
"21","PUEBLA","9","PUEBLA","189","484","25,311","13,957","3,448","6,321","2,332","3,389","5,920","16,634","3,052","5,946",,"1,241",,,,"246","7,523","95,320","287,062","SDF-JIN-52-2015 SUP-REC-366-2015"
"21","PUEBLA","10","SAN PEDRO CHOLULA","139","502","28,342","14,524","4,790","3,915","2,733","11,432","4,336","13,387","3,299","5,782",,"1,179",,,,"232","7,381","101,332","318,443","SDF-JIN-31-2015 SUP-REC-408-2015"
"21","PUEBLA","11","PUEBLA","197","503","27,154","19,992","2,536","5,055","3,019","5,076","4,775","17,212","4,048","6,779",,"2,365",,,,"351","9,430","107,792","308,553","SDF-JIN-37-2015 SDF-JIN-44-2015 SUP-REC-450-2015"
"21","PUEBLA","12","PUEBLA","216","499","26,465","23,301","3,067","4,659","2,249","4,422","4,225","19,008","3,989","7,063",,"2,425",,,,"391","9,210","110,474","297,053","SDF-JIN-14-2015 SDF-JIN-61-2015 SDF-JIN-62-2015 SDF-JIN-63-2015"
