"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PRD"," PVEM"," PT"," CONVERGENCIA"," NUEVA ALIANZA"," PSD"," PRIMERO MEXICO"," SALVEMOS MEXICO"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL","OBSERVACIONES"
"16","MICHOACAN","6","Ciudad Hidalgo","225","485","24,449","14,725","34,410","5,877","1,857","1,121","2,712","333",,"109","71","5,645","91,309","267,734",
"16","MICHOACAN","7","Zacapu","235","502","18,013","23,831","30,755","7,278","3,702","595","1,773","352",,"205","70","5,836","92,410","279,570",
"16","MICHOACAN","8","Morelia","145","424","22,558","21,242","12,534","10,734","3,064","2,767","2,095","666",,"197","236","9,387","85,480","257,073",
"16","MICHOACAN","9","Uruapan del Progreso","190","466","25,328","12,030","27,400","13,177","2,261","1,174","2,243","719",,"157","179","7,062","91,730","267,582",
"16","MICHOACAN","10","Morelia","204","457","33,158","20,960","9,381","11,857","3,553","1,855","2,519","892",,"186","450","13,420","98,231","267,614",
"16","MICHOACAN","11","Pátzcuaro","273","498","16,854","26,583","36,814","6,532","2,403","495","1,713","501",,"87","50","5,696","97,728","266,680",
"16","MICHOACAN","12","Apatzingán de la Constitución","230","466","18,397","18,118","23,650","11,413","1,097","463","837","339",,"63","19","3,078","77,474","253,624",
"17","MORELOS","1","Cuernavaca","203","484","32,754","47,416","18,830","13,808","4,509","3,693","4,577","5,161",,"180","276","9,687","140,891","288,281",
"17","MORELOS","2","Jiutepec","135","435","25,724","31,420","28,826","15,331","4,123","4,940","4,313","2,751",,"118","118","6,672","124,336","268,365",
"17","MORELOS","3","Cuautla","190","439","23,592","31,423","18,182","12,047","7,715","11,539","9,002","4,481",,"232","125","6,614","124,952","254,375",
"17","MORELOS","4","Jojutla","192","429","19,471","43,380","26,548","7,208","4,135","7,356","6,917","2,347",,"150","63","5,269","122,844","235,644",
"17","MORELOS","5","Yautepec","187","424","26,518","38,357","19,750","9,218","6,417","8,405","5,293","3,014",,"229","55","5,349","122,605","239,545",
"18","NAYARIT","1","Santiago Ixcuintla","353","500","12,548","39,348","27,234","3,504","1,708","716","4,168","574",,"105","17","2,950","92,872","221,373",
"18","NAYARIT","2","Tepic","213","464","6,118","43,824","46,714","4,013","2,499","388","2,230","515",,"178","97","4,434","111,010","255,728",
"18","NAYARIT","3","Compostela","310","523","47,545","45,213","4,003","2,752","2,507","542","890","374",,"129","41","3,447","107,443","256,586",
"19","NUEVO LEON","1","Santa Catarina","149","459","67,922","52,152","3,118","9,024","1,647","731","8,612","1,071",,"78","138","5,275","149,768","283,851",
"19","NUEVO LEON","2","Apodaca","88","414","41,910","67,699","2,617","7,571","1,953","595","5,884","645",,"105","61","3,080","132,120","268,710",
"19","NUEVO LEON","3","General Escobedo","167","494","61,413","66,509","2,722","7,288","2,342","790","5,929","888",,"50","112","4,389","152,432","301,870",
"19","NUEVO LEON","4","San Nicolás de los Garza","164","453","78,668","44,064","2,635","7,916","2,003","808","5,792","1,014",,"50","103","4,239","147,292","273,548",
"19","NUEVO LEON","5","Monterrey","111","356","26,828","65,154","1,409","3,784","5,412","368","2,381","369",,"118","47","5,559","111,429","225,669",
"19","NUEVO LEON","6","Monterrey","128","379","58,480","53,293","2,245","6,554","1,944","618","4,391","893",,"57","139","4,726","133,340","231,358",
"19","NUEVO LEON","7","Monterrey","307","460","49,155","49,499","2,301","5,871","2,169","1,100","3,719","878",,"25","117","4,809","119,643","228,003",
"19","NUEVO LEON","8","Guadalupe","157","426","53,598","60,381","2,412","7,258","3,037","943","7,025","802",,"75","117","4,224","139,872","259,895",
"19","NUEVO LEON","9","Linares","311","544","59,971","73,787","4,651","3,245","2,277","319","12,911","699",,"65","42","5,841","163,808","273,135",
"19","NUEVO LEON","10","Monterrey","182","401","59,008","47,560","2,692","5,938","1,461","692","4,303","909",,"48","164","4,851","127,626","232,019",
"19","NUEVO LEON","11","Guadalupe","122","417","40,275","73,623","2,252","5,712","1,967","593","5,538","746",,"58","103","4,009","134,876","265,652",
"19","NUEVO LEON","12","Cadereyta Jiménez","245","632","67,694","97,939","6,231","6,655","5,291","2,554","15,283","610",,"298","46","5,352","207,953","367,477",
"20","OAXACA","1","San Juan Bautista Tuxtepec","196","398","19,338","54,650","7,505","4,629","3,525","11,992","609","1,580",,"503","339","3,425","108,095","215,046",
"20","OAXACA","2","Teotitlán de Flores Magón","209","366","16,617","42,265","20,834","3,494","3,201","3,064","311","1,718",,"113","39","3,742","95,398","182,037",
"20","OAXACA","3","Heroica Ciudad de Huajuapan de León","297","493","14,327","38,479","13,711","6,564","4,738","2,612","1,024","975",,"281","339","4,563","87,613","242,575",
"20","OAXACA","4","Tlacolula de Matamoros","258","467","13,675","33,505","8,963","5,225","4,696","2,497","1,128","2,973",,"341","238","4,249","77,490","232,960",
"20","OAXACA","5","Santo Domingo Tehuantepec","189","400","26,412","38,831","15,223","3,267","2,869","3,639","500","966",,"502","50","2,544","94,803","212,292",
"20","OAXACA","6","Heroica Ciudad de Tlaxiaco","290","487","6,249","42,609","20,979","3,979","4,152","1,253","522","864",,"202","48","4,633","85,490","237,520",
"20","OAXACA","7","Juchitán de Zaragoza","227","444","11,070","49,932","11,437","3,527","7,629","2,839","432","8,917",,"124","115","3,272","99,294","227,045",
"20","OAXACA","8","Oaxaca de Juárez","171","453","20,702","32,657","17,169","9,334","3,339","7,893","1,931","1,381",,"550","7,462","6,628","109,046","271,069",
"20","OAXACA","9","Santa Lucía del Camino","202","424","14,985","31,931","10,622","7,160","3,913","3,517","3,969","1,296",,"372","1,062","5,362","84,189","239,246",
"20","OAXACA","10","Miahuatlán de Porfirio Díaz","214","396","18,264","37,463","7,268","4,298","3,535","4,595","5,007","716",,"318","32","4,766","86,262","207,806",
"20","OAXACA","11","Santiago Pinotepa Nacional","193","430","7,537","50,512","30,690","4,518","7,630","1,483","321","722",,"189","23","3,575","107,200","234,043",
"21","PUEBLA","1","Huauchinango de Degollado","178","436","28,220","54,740","8,272","4,054","1,808","1,781","2,433","491",,"265","64","5,880","108,008","231,511",
"21","PUEBLA","2","Zacatlán","162","390","17,844","49,838","3,831","4,588","2,373","1,520","4,973","486",,"221","47","4,806","90,527","217,761",
"21","PUEBLA","3","Teziutlán","171","395","29,094","40,692","5,168","5,005","2,567","2,599","2,002","586",,"259","39","5,098","93,109","221,701",
"21","PUEBLA","4","Zacapoaxtla","181","407","18,577","41,696","6,715","2,459","3,830","1,270","8,998","616",,"193","27","5,347","89,728","221,817",
"21","PUEBLA","5","San Martín Texmelucan de Labastida","143","380","19,869","34,063","4,857","6,351","3,527","898","5,501","585",,"211","58","4,200","80,120","232,037",
"21","PUEBLA","6","Heroica Puebla de Zaragoza","166","456","25,786","38,077","4,998","9,923","6,094","2,624","4,287","1,450",,"488","216","11,676","105,619","276,943",
"21","PUEBLA","7","Tepeaca","117","364","17,776","34,670","4,728","5,215","2,789","1,375","2,293","545",,"194","70","3,753","73,408","218,643",
"21","PUEBLA","8","Ciudad Serdán","140","345","19,646","38,473","5,886","2,958","2,889","707","1,513","668",,"225","36","3,116","76,117","199,619",
"21","PUEBLA","9","Heroica Puebla de Zaragoza","179","448","26,689","30,478","4,606","10,282","6,661","2,503","4,117","1,293",,"476","242","11,554","98,901","268,775",
"21","PUEBLA","10","Cholula de Rivadavia","124","400","23,759","28,668","6,246","8,342","2,989","4,816","2,817","923",,"482","148","7,757","86,947","248,934",
"21","PUEBLA","11","Heroica Puebla de Zaragoza","183","464","33,958","25,674","4,532","8,652","4,949","2,809","6,282","1,620","3,256","387","321","13,464","105,904","276,589",
"21","PUEBLA","12","Heroica Puebla de Zaragoza","180","454","30,017","33,040","4,116","9,209","5,038","2,559","8,261","1,467",,"288","397","13,319","107,711","270,881",
"21","PUEBLA","13","Atlixco","194","406","30,239","34,954","4,881","3,422","3,051","766","2,557","408",,"202","49","3,844","84,373","225,841",
"21","PUEBLA","14","Izúcar de Matamoros","182","433","13,268","35,255","6,233","4,670","3,180","2,926","3,034","613",,"404","37","3,675","73,295","231,567",
"21","PUEBLA","15","Tehuacán","113","359","23,536","27,686","4,037","6,346","5,330","667","6,166","542",,"168","78","4,151","78,707","223,979",
"21","PUEBLA","16","Ajalpan","167","355","23,488","38,575","4,796","2,308","1,635","1,916","1,739","255",,"190","19","3,716","78,637","185,824",
"22","QUERETARO","1","Cadereyta de Montes","215","502","69,855","58,999","6,539","9,947","3,024","9,570","2,071","1,152",,"89","54","7,600","168,900","267,887",
"22","QUERETARO","2","San Juan del Río","159","494","59,869","59,375","5,904","14,047","3,016","5,042","4,813","1,790",,"50","134","7,835","161,875","292,127",
"22","QUERETARO","3","Santiago de Querétaro","190","499","64,824","65,744","4,293","12,963","3,400","3,001","5,931","1,653",,"47","267","7,170","169,293","298,335",
"22","QUERETARO","4","Santiago de Querétaro","197","505","67,736","74,575","5,401","12,336","3,517","3,783","3,160","1,427",,"242","224","7,443","179,844","296,244",
"23","QUINTANA ROO","1","Playa del Carmen","336","649","39,205","61,127","9,565","5,813","2,103","1,213","2,570","699","5,005","176","147","5,513","133,136","352,927",
"23","QUINTANA ROO","2","Chetumal","208","414","14,977","43,214","6,926","6,519","4,005","820","5,617","582",,"150","90","6,288","89,188","222,575",
"23","QUINTANA ROO","3","Cancún","185","413","15,647","28,913","8,552","6,330","2,668","1,013","1,953","865","3,565","206","231","5,714","75,657","236,147",
"24","SAN LUIS POTOSI","1","Matehuala","327","502","47,220","44,106","9,471","10,797","9,333","2,661","3,866","678",,"133","57","9,861","138,183","238,929",
"24","SAN LUIS POTOSI","2","Soledad de Graciano Sánchez","221","440","43,088","36,031","10,254","13,601","3,882","2,922","6,050","2,253",,"191","154","9,786","128,212","239,873",
"24","SAN LUIS POTOSI","3","Rioverde","356","524","57,032","45,559","9,160","2,742","4,635","1,708","3,942","276",,"114","34","8,165","133,367","243,744",
"24","SAN LUIS POTOSI","4","Ciudad Valles","245","439","41,957","45,547","6,354","10,199","4,483","1,466","10,864","675",,"121","73","8,269","130,008","229,331",
"24","SAN LUIS POTOSI","5","San Luis Potosí","198","460","59,425","37,165","5,080","11,098","2,322","1,622","5,399","937",,"183","327","11,190","134,748","267,916",
"24","SAN LUIS POTOSI","6","San Luis Potosí","157","436","46,712","39,272","5,064","13,291","2,650","1,777","5,697","993",,"141","285","10,196","126,078","268,852",
"24","SAN LUIS POTOSI","7","Tamazunchale","286","471","53,773","55,660","15,880","6,332","3,291","1,050","8,685","948",,"63","15","13,772","159,469","240,622",
"25","SINALOA","1","El Fuerte","633","668","45,313","54,142","3,579","1,742","572","364","1,868","185",,"134","34","1,927","109,860","209,901",
"25","SINALOA","2","Los Mochis","455","569","26,966","39,350","6,219","6,062","1,177","714","7,813","597",,"101","81","3,501","92,581","269,062",
"25","SINALOA","3","Guamuchil","511","580","30,874","49,097","3,865","5,037","1,151","509","5,966","338",,"67","81","3,016","100,001","231,500",
"25","SINALOA","4","Guasave","438","471","46,760","49,820","4,232","1,806","703","204","2,300","183",,"35","27","2,067","108,137","190,048",
"25","SINALOA","5","Culiacán de Rosales","507","623","34,544","39,533","4,369","5,617","2,066","570","6,556","662",,"73","265","5,288","99,543","271,868",
"25","SINALOA","6","Mazatlán","398","500","26,310","40,977","3,565","3,129","977","704","5,805","664",,"86","97","3,330","85,644","207,776",
"25","SINALOA","7","Culiacán de Rosales","425","525","27,945","40,665","3,742","5,031","1,526","488","5,399","694",,"58","119","3,431","89,098","245,269",
"25","SINALOA","8","Mazatlán","386","492","21,243","32,005","2,228","5,581","1,662","349","2,150","11,091",,"88","170","5,043","81,610","234,386",
"26","SONORA","1","San Luis Río Colorado","191","481","60,610","55,889","7,114","2,008","751","995","456","389",,"193","43","3,895","132,343","274,802",
"26","SONORA","2","Nogales","166","489","53,536","53,691","2,903","3,090","1,041","2,378","281","4,036",,"25","40","4,769","125,790","295,535",
"26","SONORA","3","Hermosillo","151","424","54,282","60,867","2,027","2,153","1,812","764","446","688",,"94","112","5,502","128,747","249,214",
"26","SONORA","4","Guaymas","260","483","55,666","61,930","10,515","3,039","4,089","1,000","530","517",,"117","70","4,881","142,354","247,032",
"26","SONORA","5","Hermosillo","159","410","49,776","59,375","1,582","2,080","1,378","484","353","738",,"75","128","5,339","121,308","238,227",
"26","SONORA","6","Ciudad Obregón","219","498","54,161","65,455","3,461","2,211","2,193","724","805","700",,"124","91","4,820","134,745","282,592",
"26","SONORA","7","Navojoa","207","439","56,405","56,425","13,017","2,643","2,242","1,651","364","468",,"21","39","6,396","139,671","238,771",
"27","TABASCO","1","Macuspana","214","412","11,943","40,721","28,471","3,519","986","980","1,677","227",,"60","22","2,918","91,524","221,815",
"27","TABASCO","2","Heroica Cárdenas","190","399","6,219","42,140","36,837","2,707","845","820","1,638","883",,"122","24","2,967","95,202","224,792",
"27","TABASCO","3","Comalcalco","185","421","4,526","47,740","47,860","3,281","1,025","488","1,852","226",,"43","44","3,310","110,395","244,233",
"27","TABASCO","4","Villahermosa","178","439","9,134","28,414","34,592","7,250","1,421","773","2,261","868",,"141","121","4,807","89,782","256,004",
"27","TABASCO","5","Paraíso","183","417","6,399","47,375","43,484","5,112","1,210","477","2,507","516",,"73","19","3,822","110,994","238,378",
"27","TABASCO","6","Villahermosa","183","468","10,398","40,979","27,429","6,772","2,210","1,031","2,559","458",,"142","110","5,185","97,273","272,065",
"28","TAMAULIPAS","1","Nuevo Laredo","207","556","36,311","61,512","6,695","4,824","1,108","622","3,003","758",,"88","86","4,851","119,858","334,847",
"28","TAMAULIPAS","2","Reynosa","212","571","38,170","55,954","8,291","5,683","2,458","1,063","1,664","1,056",,"311","103","5,035","119,788","341,038","El TEPJF transcribió con error la votación del PT (3 correcto  13 error); y del PSD (6 correcto  5 error)."
"28","TAMAULIPAS","3","Río Bravo","312","679","49,253","71,754","5,109","7,326","2,250","737","2,446","1,611",,"166","65","5,329","146,046","376,407",
"28","TAMAULIPAS","4","H. Matamoros","173","505","40,026","50,686","4,170","9,602","1,085","723","2,760","495",,"50","106","5,140","114,843","314,996",
"28","TAMAULIPAS","5","Ciudad Victoria","221","491","29,087","86,985","3,933","3,750","1,963","510","5,457","1,105",,"228","111","4,262","137,391","265,442",
"28","TAMAULIPAS","6","Ciudad Mante","295","535","38,394","66,878","6,195","5,801","734","394","6,354","193",,"54","19","2,613","127,629","257,407",
"28","TAMAULIPAS","7","Ciudad Madero","182","475","36,568","61,043","4,777","7,740","1,539","1,343","5,940","639",,"197","82","4,612","124,480","277,834",
"28","TAMAULIPAS","8","Tampico","205","445","42,581","47,681","4,505","7,692","1,141","923","2,467","516",,"131","129","4,626","112,392","260,245",
"29","TLAXCALA","1","Apizaco","243","477","35,215","15,348","18,351","6,699","3,442","2,005","3,088","718","2,953","278","103","6,852","95,052","260,917",
"29","TLAXCALA","2","Tlaxcala de Xicohtencatl","160","427","35,450","19,253","8,962","9,107","5,480","1,333","3,660","1,294",,"303","167","6,593","91,602","256,274",
"29","TLAXCALA","3","Zacatelco","205","451","35,731","28,093","11,630","4,667","3,861","1,675","3,433","558",,"375","55","4,868","94,946","254,761",
"30","VERACRUZ","1","Pánuco","273","437","45,180","50,275","2,550","2,188","840","713","372","336",,"156","20","2,446","105,076","211,499",
"30","VERACRUZ","2","Tantoyuca","265","466","59,020","65,764","8,745","1,984","1,814","2,964","847","412",,"169","20","4,694","146,433","238,452",
"30","VERACRUZ","3","Tuxpan de Rodríguez Cano","213","426","44,778","44,687","3,027","3,015","1,298","2,382","1,183","340",,"97","55","3,839","104,701","222,204","El TEPJF recompuso el cómputo distrital al restar a mayoría relativa  la votación de representación proporcional de 2 casillas especiales que erróneamente se habían integrado."
"30","VERACRUZ","4","Veracruz","185","434","53,771","54,490","1,524","4,391","804","2,403","915","452",,"89","192","5,206","124,237","252,200",
"30","VERACRUZ","5","Poza Rica de Hidalgo","203","435","42,412","57,702","3,483","3,550","1,711","1,386","1,046","365",,"190","72","3,958","115,875","243,794",
"30","VERACRUZ","6","Papantla de Olarte","195","407","38,539","56,333","8,785","4,891","1,977","4,508","976","278",,"344","23","2,967","119,621","213,442",
"30","VERACRUZ","7","Martínez de la Torre","246","481","49,217","44,348","5,910","3,208","995","2,228","2,363","414",,"178","36","3,118","112,015","241,652",
"30","VERACRUZ","8","Xalapa","279","533","43,434","59,987","8,301","5,478","1,975","2,839","1,612","601",,"279","170","5,264","129,940","276,170",
"30","VERACRUZ","9","Coatepec","203","446","26,828","70,058","5,544","4,570","1,828","2,180","1,315","668",,"159","100","5,641","118,891","246,802",
"30","VERACRUZ","10","Xalapa","221","473","24,892","43,175","6,731","8,182","2,743","4,448","2,716","1,254",,"455","321","9,338","104,255","268,377",
"30","VERACRUZ","11","Coatzacoalcos","239","497","41,642","35,297","8,822","5,045","6,626","4,548","1,760","482",,"523","124","4,718","109,587","267,625",
"30","VERACRUZ","12","Veracruz","206","458","41,277","51,319","1,485","4,524","958","2,352","1,062","492",,"178","139","4,443","108,229","261,250","El TEPJF descontó la votación de la casilla anulada tomando los resultados del Acta de Escrutinio y Cómputo de Casilla  cuando  ésta fue recontada  teniendo una diferencia de un voto en el PAN (118 correcto  117 error) y en el PVEM (10 correcto  9 error)."
"30","VERACRUZ","13","Huatusco","216","461","30,470","45,950","2,309","3,056","941","3,798","45,367","473",,"94","44","3,426","135,928","251,419",
"30","VERACRUZ","14","Minatitlán","214","477","31,259","45,033","6,387","6,569","2,053","4,139","1,364","493",,"325","61","4,233","101,916","241,266",
"30","VERACRUZ","15","Orizaba","225","490","21,600","56,222","6,455","7,830","2,489","8,020","1,807","1,002",,"516","238","7,723","113,902","270,526",
"30","VERACRUZ","16","Córdoba","213","467","47,322","75,924","2,985","4,575","1,697","4,744","1,403","638",,"280","126","5,891","145,585","266,990",
"30","VERACRUZ","17","Cosamaloapan","288","551","38,013","68,978","3,691","4,415","1,650","3,182","3,106","692",,"237","158","4,541","128,663","290,823",
"30","VERACRUZ","18","Zongolica","218","432","43,464","56,862","13,960","3,418","1,522","2,344","788","420",,"186","80","5,564","128,608","234,780",
"30","VERACRUZ","19","San Andrés Tuxtla","216","446","37,891","34,492","16,591","2,568","1,063","6,447","861","280",,"261","60","3,847","104,361","241,332",
"30","VERACRUZ","20","Acayucan","208","434","37,296","50,272","3,621","3,245","1,322","1,830","758","394",,"116","215","3,511","102,580","235,697",
"30","VERACRUZ","21","Cosoleacaque","220","442","40,035","53,016","12,076","2,900","1,421","2,883","560","555",,"301","83","3,537","117,367","233,910",
"31","YUCATAN","1","Valladolid","228","424","54,377","68,418","2,982","1,934","1,252","227","767","368","13,007","63","29","2,547","145,971","223,723",
"31","YUCATAN","2","Progreso","224","456","41,401","76,418","3,119","4,049","876","333","1,085","317","4,581","59","48","3,617","135,903","245,209",
"31","YUCATAN","3","Mérida","213","501","52,655","73,203","1,880","4,706","1,324","566","1,874","1,180","6,136","57","254","7,289","151,124","291,007",
"31","YUCATAN","4","Mérida","211","479","57,960","70,894","1,649","4,122","1,165","649","1,833","1,067","7,790","90","225","6,849","154,293","270,720",
"31","YUCATAN","5","Ticul","202","440","45,400","71,714","3,467","2,710","588","354","1,019","292","3,594","37","26","2,642","131,843","248,432",
"32","ZACATECAS","1","Fresnillo","417","580","15,430","11,954","46,818","8,394","31,632","414","3,936","784",,"614","69","3,804","123,849","265,684",
"32","ZACATECAS","2","Jerez de García Salinas","660","783","30,984","33,732","36,698","6,556","4,451","355","3,087","432",,"76","59","4,190","120,620","289,054",
"32","ZACATECAS","3","Zacatecas","436","598","19,507","21,443","43,292","5,365","13,998","681","2,038","959","4,681","329","134","6,178","118,605","261,175",
"32","ZACATECAS","4","Guadalupe","357","553","20,688","29,899","41,945","8,981","3,372","4,757","3,941","783",,"283","129","5,490","120,268","266,956",
