"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," APM"," PBT"," NUEVA ALIANZA"," ASDC"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"22","QUERETARO","4","Querétaro","193","453","86,167","42,819","29,318","5,169","3,692","568","3,230","170,963","264,542"
"23","QUINTANA ROO","1","Solidaridad","74","390","32,722","49,935","42,158","3,110","1,938","376","2,354","132,593","254,861"
"23","QUINTANA ROO","2","Othón P. Blanco","208","385","20,578","65,703","32,953","3,320","910","195","3,363","127,022","202,769"
"23","QUINTANA ROO","3","Benito Juárez","160","376","37,555","30,102","37,241","5,347","2,809","357","2,001","115,412","218,254"
"24","SAN LUIS POTOSI","1","Matehuala","327","481","57,557","40,154","16,568","3,779","1,301","250","8,203","127,812","221,114"
"24","SAN LUIS POTOSI","2","Soledad de Graciano Sánchez","221","410","60,149","31,500","18,995","6,046","2,966","389","6,222","126,267","218,359"
"24","SAN LUIS POTOSI","3","Rioverde","356","497","53,189","49,447","12,917","2,309","862","177","7,541","126,442","224,853"
"24","SAN LUIS POTOSI","4","Ciudad Valles","245","420","56,291","34,800","24,433","6,998","1,275","238","6,515","130,550","215,126"
"24","SAN LUIS POTOSI","5","San Luis Potosí","198","436","85,881","28,637","21,661","6,180","3,274","476","3,319","149,428","247,236"
"24","SAN LUIS POTOSI","6","San Luis Potosí","157","404","74,996","27,918","20,383","6,799","3,182","694","3,090","137,062","241,078"
"24","SAN LUIS POTOSI","7","Tamazunchale","286","439","52,329","41,788","32,131","4,924","1,836","282","11,934","145,224","224,370"
"25","SINALOA","1","El Fuerte","635","664","42,737","47,814","12,629","1,373","399","95","2,879","107,926","198,139"
"25","SINALOA","2","Ahome","455","546","52,296","58,925","18,352","7,946","1,081","191","3,033","141,824","250,756"
"25","SINALOA","3","Salvador Alvarado","513","570","44,563","53,356","21,021","2,739","873","339","2,471","125,362","216,090"
"25","SINALOA","4","Guasave","438","464","28,878","39,155","25,692","8,348","513","110","2,693","105,389","182,703"
"25","SINALOA","5","Culiacán","507","583","50,715","46,398","27,254","18,039","1,298","279","2,823","146,806","250,661"
"25","SINALOA","6","Mazatlán","404","489","39,050","44,878","14,626","1,647","760","191","2,323","103,475","188,860"
"25","SINALOA","7","Culiacán","425","500","42,416","46,192","20,398","3,591","1,570","320","2,532","117,019","221,512"
"25","SINALOA","8","Mazatlán","386","476","49,546","28,987","29,869","5,930","1,509","377","2,595","118,813","223,375"
"26","SONORA","1","San Luis Río Colorado","191","435","58,480","39,839","19,578","2,044","1,357","106","2,311","123,715","242,126"
"26","SONORA","2","Nogales","166","451","65,990","40,465","15,043","7,096","965","124","2,826","132,509","262,996"
"26","SONORA","3","Hermosillo","152","375","73,188","35,576","12,454","3,399","1,412","126","2,192","128,347","223,915"
"26","SONORA","4","Guaymas","260","456","46,881","53,637","29,527","1,562","1,177","115","3,061","135,960","228,975"
"26","SONORA","5","Hermosillo","159","389","60,573","45,208","10,470","7,291","1,001","129","2,174","126,846","222,211"
"26","SONORA","6","Cajeme","219","470","75,770","38,964","21,748","1,385","1,002","119","2,589","141,577","261,569"
"26","SONORA","7","Navojoa","207","428","43,589","52,605","32,335","1,242","636","69","3,257","133,733","227,611"
"27","TABASCO","1","Macuspana","214","393","5,492","57,012","70,227","2,014","747","109","2,878","138,479","206,897"
"27","TABASCO","2","Cárdenas","190","374","4,957","49,568","70,569","1,701","700","239","2,539","130,273","207,524"
"27","TABASCO","3","Comalcalco","185","400","6,394","55,635","86,274","2,674","787","216","2,797","154,777","223,508"
"27","TABASCO","4","Centro","178","415","8,816","62,437","81,225","3,125","1,083","155","2,451","159,292","239,089"
"27","TABASCO","5","Paraíso","183","389","4,731","65,301","80,604","3,734","839","189","3,178","158,576","214,502"
"27","TABASCO","6","Centro","183","431","7,699","71,404","75,105","2,196","1,616","175","3,321","161,516","243,934"
"28","TAMAULIPAS","1","Nuevo Laredo","207","517","48,399","61,535","27,078","3,933","1,640","253","3,104","145,942","306,214"
"28","TAMAULIPAS","2","Reynosa","172","515","59,042","44,371","30,907","3,374","1,306","457","2,959","142,416","315,796"
"28","TAMAULIPAS","3","Río Bravo","277","588","54,089","47,668","45,541","4,606","2,011","383","4,297","158,595","312,149"
"28","TAMAULIPAS","4","Matamoros","173","483","56,528","49,107","27,617","3,686","1,928","725","2,742","142,333","297,997"
"28","TAMAULIPAS","5","Victoria","222","469","48,736","64,657","27,659","9,816","1,968","193","3,294","156,323","249,150"
"28","TAMAULIPAS","6","El Mante","295","519","50,702","56,057","25,270","6,277","858","290","3,774","143,228","242,928"
"28","TAMAULIPAS","7","Ciudad Madero","183","434","55,066","47,561","30,711","7,174","2,030","994","3,217","146,753","250,276"
"28","TAMAULIPAS","8","Tampico","206","438","63,945","50,422","27,392","5,694","1,932","603","2,356","152,344","250,619"
"29","TLAXCALA","1","Apizaco","243","444","51,791","22,979","49,459","5,474","3,244","440","5,564","138,951","237,394"
"29","TLAXCALA","2","Tlaxcala","160","395","52,357","28,914","47,764","5,921","2,751","408","3,287","141,402","234,550"
"29","TLAXCALA","3","Zacatelco","205","413","43,621","23,386","45,273","7,514","2,440","572","3,950","126,756","232,704"
"30","VERACRUZ","1","Pánuco","273","428","47,152","38,505","26,934","1,693","1,037","504","3,161","118,986","205,414"
"30","VERACRUZ","2","Tantoyuca","265","451","43,708","45,710","37,714","1,686","946","153","5,175","135,092","224,190"
"30","VERACRUZ","3","Tuxpan","213","409","43,444","33,395","37,002","4,572","1,541","469","3,660","124,083","215,054"
"30","VERACRUZ","4","Veracruz","174","406","66,019","37,887","27,972","4,366","2,233","375","2,758","141,610","232,499"
"30","VERACRUZ","5","Poza Rica de Hidalgo","203","416","50,395","29,422","45,703","3,347","1,017","445","3,320","133,649","228,559"
"30","VERACRUZ","6","Papantla","196","394","29,173","31,130","51,762","1,372","838","171","3,428","117,874","202,713"
"30","VERACRUZ","7","Martínez de la Torre","246","441","44,971","34,860","31,635","4,487","892","495","3,620","120,960","223,800"
"30","VERACRUZ","8","Xalapa","279","494","47,518","45,771","43,019","4,972","2,341","410","4,519","148,550","255,203"
"30","VERACRUZ","9","Coatepec","203","421","35,732","57,345","30,278","4,403","1,924","553","5,073","135,308","227,160"
"30","VERACRUZ","10","Xalapa","221","453","30,797","66,817","49,998","4,085","2,825","292","3,366","158,180","251,931"
"30","VERACRUZ","11","Coatzacoalcos","218","462","27,488","54,968","61,952","3,313","1,492","298","3,113","152,624","252,516"
"30","VERACRUZ","12","Veracruz","206","436","60,256","42,609","33,606","3,644","1,505","350","2,377","144,347","243,493"
"30","VERACRUZ","13","Huatusco","216","444","50,166","43,507","32,076","7,251","1,099","667","3,524","138,290","234,332"
"30","VERACRUZ","14","Minatitlán","214","436","31,478","42,990","48,929","1,341","889","287","3,086","129,000","224,844"
"30","VERACRUZ","15","Orizaba","225","459","50,933","55,322","38,429","4,003","1,984","619","4,081","155,371","252,561"
"30","VERACRUZ","16","Córdoba","213","441","64,168","49,599","35,646","3,919","1,733","620","3,272","158,957","247,857"
"30","VERACRUZ","17","Cosamaloapan","288","519","55,780","47,846","41,144","4,261","1,403","696","4,292","155,422","270,668"
"30","VERACRUZ","18","Zongolica","218","404","38,487","46,733","35,010","3,098","1,146","329","5,935","130,738","215,386"
"30","VERACRUZ","19","San Andrés Tuxtla","216","420","28,252","45,600","45,536","1,792","851","241","4,267","126,539","229,551"
"30","VERACRUZ","20","Acayucan","208","413","47,152","43,067","29,294","1,280","888","336","3,707","125,724","223,061"
"30","VERACRUZ","21","Cosoleacaque","220","417","29,694","47,799","50,387","1,780","1,071","281","3,717","134,729","214,885"
"31","YUCATAN","1","Valladolid","228","402","63,126","54,006","17,828","1,136","485","117","2,502","139,200","205,066"
"31","YUCATAN","2","Progreso","224","425","60,955","66,640","15,084","3,672","1,250","514","3,666","151,781","226,292"
"31","YUCATAN","3","Mérida","213","456","79,669","50,627","22,207","8,409","3,023","691","4,131","168,757","264,004"
"31","YUCATAN","4","Mérida","211","454","87,549","49,658","22,301","6,036","2,855","702","3,794","172,895","256,153"
"31","YUCATAN","5","Ticul","202","415","61,830","59,963","16,277","3,564","1,055","256","3,695","146,640","227,204"
"32","ZACATECAS","1","Fresnillo","417","549","32,678","30,558","50,250","4,258","2,225","1,297","3,745","125,011","244,537"
"32","ZACATECAS","2","Jerez","661","760","42,341","32,938","40,302","6,223","2,084","425","4,171","128,484","269,148"
"32","ZACATECAS","3","Zacatecas","435","568","37,223","34,811","45,841","7,154","3,273","1,064","3,760","133,126","241,649"
"32","ZACATECAS","4","Guadalupe","356","517","29,266","39,453","46,473","7,291","3,008","893","4,205","130,589","239,194"
