"ESTADO","NOMBRE ESTADO","DISTRITO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PPS"," PRD"," PFCRN"," PARM"," UNO PDM"," PT"," PVEM"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"18","NAYARIT","3","III","Compostela","310","373","18,666","59,992","1,193","14,641","680","1,216","164","2,458","600","192","3,971","103,773","151,904"
"19","NUEVO LEON","1","I","Monterrey","156","240","42,745","51,301","187","2,205","172","175","168","3,119","641","35","1,514","102,262","125,030"
"19","NUEVO LEON","2","II","Monterrey","110","129","15,572","17,924","151","912","89","113","76","1,282","228","10","853","37,210","49,116"
"19","NUEVO LEON","3","III","Monterrey","191","311","57,258","61,524","267","3,917","219","263","168","4,224","935","9","2,631","131,415","165,271"
"19","NUEVO LEON","4","IV","Guadalupe","78","144","33,299","24,967","112","1,967","123","175","128","2,271","445","19","1,399","64,905","80,472"
"19","NUEVO LEON","5","V","Linares","186","236","11,808","50,253","144","1,007","694","302","50","9,214","113","6","3,103","76,694","103,652"
"19","NUEVO LEON","6","VI","Sabinas Hidalgo","375","567","65,339","117,819","395","4,689","567","388","409","10,709","841","51","5,500","206,707","271,392"
"19","NUEVO LEON","7","VII","Garza García","252","539","87,788","119,006","733","5,929","471","768","432","22,012","1,158","102","5,594","243,993","308,064"
"19","NUEVO LEON","8","VIII","Monterrey","88","149","24,416","26,162","163","1,421","144","207","232","4,472","426","62","1,890","59,595","77,762"
"19","NUEVO LEON","9","IX","Guadalupe","201","452","81,234","94,182","407","4,816","526","513","288","7,468","1,076","431","4,214","195,155","254,183"
"19","NUEVO LEON","10","X","San Nicolás Garza","238","466","118,907","77,546","413","3,762","319","619","239","6,863","1,122","1,111","3,758","214,659","266,818"
"19","NUEVO LEON","11","XI","Santa Catarina","225","390","65,807","74,840","289","2,747","456","477","297","8,830","991","460","4,124","159,318","198,148"
"20","OAXACA","1","I","Juchitán","248","330","3,989","60,986","934","38,491","462","372","113","962","273","616","3,261","110,459","157,686"
"20","OAXACA","2","II","Ixtlan","222","279","5,392","50,536","1,532","22,681","674","1,367","184","1,392","351","71","4,315","88,495","122,522"
"20","OAXACA","3","III","Oaxaca","258","423","40,150","72,662","1,583","37,639","978","1,384","382","5,513","2,705","105","5,943","169,044","217,661"
"20","OAXACA","4","IV","Tuxtepec","238","323","15,628","67,192","1,020","19,201","2,549","1,390","429","2,080","457","143","5,770","115,859","153,044"
"20","OAXACA","5","V","Huautla","240","301","10,123","58,190","2,287","16,712","626","761","158","1,098","508","80","5,567","96,110","133,710"
"20","OAXACA","6","VI","Huajuapan","315","343","12,103","34,367","673","22,171","493","942","125","839","322","17","4,653","76,705","115,608"
"20","OAXACA","7","VII","Tlaxiaco","237","278","4,864","26,253","1,316","30,333","593","1,984","222","1,390","322","27","4,767","72,071","112,297"
"20","OAXACA","8","VIII","Pinotepa","211","267","10,116","39,700","801","26,063","1,531","2,286","204","1,267","241","58","6,359","88,626","129,844"
"20","OAXACA","9","IX","Ejutla","255","315","12,923","49,983","1,111","17,694","510","1,795","289","1,727","400","143","6,224","92,799","139,603"
"20","OAXACA","10","X","Tehuantepec","222","327","5,909","49,742","1,738","32,177","2,655","989","133","1,332","352","41","4,288","99,356","147,879"
"21","PUEBLA","1","I","Puebla","147","249","33,144","36,693","952","12,874","774","670","289","3,444","2,149","21","2,152","93,162","130,207"
"21","PUEBLA","2","II","Puebla","181","332","52,977","58,993","1,683","15,909","980","862","535","4,985","3,153","65","3,610","143,752","174,995"
"21","PUEBLA","3","III","Cholula","206","368","51,788","65,843","855","18,558","1,636","1,384","619","2,677","1,796","521","3,900","149,577","190,316"
"21","PUEBLA","5","V","Acatlán","196","278","9,623","44,044","411","12,530","948","469","85","562","227","29","3,674","72,602","111,371"
"21","PUEBLA","6","VI","Tehuacán","189","318","32,993","55,171","730","12,326","1,390","788","191","1,162","929","21","8,106","113,807","152,154"
"21","PUEBLA","7","VII","Chalchicomula","190","332","17,511","67,310","793","10,807","952","1,053","345","1,268","583","97","6,310","107,029","148,981"
"21","PUEBLA","8","VIII","Teziuatlán","186","321","19,074","61,570","3,812","13,920","821","803","275","1,354","868","36","7,816","110,349","149,058"
"21","PUEBLA","9","IX","Atlixco","186","277",,,,,,,,,,,,,"132,665"
"21","PUEBLA","9","IX","Chignahuapan","183","297","9,994","61,069","915","10,922","1,616","1,259","208","1,367","455","139","8,071","96,015","139,656"
"21","PUEBLA","10","X","Huachinango","180","324","16,036","54,915","574","13,733","1,174","1,087","151","1,109","463","251","8,891","98,384","140,975"
"21","PUEBLA","11","XI","Puebla","162","295","40,766","48,657","970","14,236","1,005","901","353","4,077","2,632","21","3,397","117,015","157,140"
"21","PUEBLA","12","XII","Puebla","187","346","53,535","60,945","949","17,309","1,033","848","337","5,456","3,075","49","3,641","147,177","183,618"
"21","PUEBLA","13","XIII","Izucar","160","243","5,138","45,047","276","20,639","470","907","215","771","344","35","2,843","76,685","109,750"
"21","PUEBLA","14","XIV","Tepeaca","195","347","28,458","65,515","721","17,548","1,411","830","259","1,417","839","155","5,199","122,352","175,307"
"22","QUERETARO","1","I","Querétaro","290","535","77,480","115,432","1,428","14,346","1,128","983","5,783","5,422","2,637","56","5,864","230,559","272,958"
"22","QUERETARO","2","II","San Juan del Río","216","377","46,510","84,430","774","4,525","1,386","640","326","1,038","837","145","5,831","146,442","176,638"
"22","QUERETARO","3","III","El Marqués","181","320","17,659","79,036","575","5,245","1,267","413","535","1,043","430","52","5,442","111,697","140,311"
"23","QUINTANA ROO","1","I","Othon P. Blanco","174","234","15,890","44,082","736","12,465","1,290","774","167","1,226","548","29","2,540","79,747","107,641"
"23","QUINTANA ROO","2","II","Cozumel","273","392","40,684","70,225","705","12,597","1,339","446","142","1,133","1,414","50","3,428","132,163","193,607"
"24","SAN LUIS POTOSI","1","I","San Luis Potosí","213","377","57,034","70,242","769","13,153","697","1,079","689","4,930","2,596","43","3,134","154,366","198,483"
"24","SAN LUIS POTOSI","2","II","Matehuala","285","338","17,127","61,143","364","4,320","219","638","508","1,694","364","111","3,549","90,037","125,568"
"24","SAN LUIS POTOSI","3","III","Río Verde","288","350","19,233","64,097","552","4,753","496","851","905","998","425","36","4,849","97,195","137,808"
"24","SAN LUIS POTOSI","4","IV","Ciudad del Maíz","286","329","14,977","56,752","417","4,922","198","643","167","814","272","38","4,290","83,490","117,882"
"24","SAN LUIS POTOSI","5","V","Ciudad Valles","233","300","19,994","60,639","328","10,614","625","558","318","1,208","399","22","3,550","98,255","131,170"
"24","SAN LUIS POTOSI","6","VI","San Luis Potosí","258","410","47,999","79,202","685","10,050","692","746","872","4,434","2,034","68","4,405","151,187","199,545"
"24","SAN LUIS POTOSI","7","VII","Tamazunchale","229","306","8,049","56,845","291","16,944","706","611","432","681","225","64","6,077","90,925","129,521"
"25","SINALOA","1","I","Ahome","367","380","41,449","46,990","253","10,619","539","428","56","1,001","530","21","1,959","103,845","144,726"
"25","SINALOA","2","II","Guasave","439","443","18,858","59,952","326","24,261","551","1,015","34","835","232","48","2,180","108,292","136,460"
"25","SINALOA","3","III","Culiacán","280","284","21,660","35,899","325","10,407","129","206","50","636","522","17","954","70,805","90,721"
"25","SINALOA","4","IV","Mazatlán","326","335","27,070","43,680","593","7,369","288","430","79","620","466","241","2,007","82,843","108,685"
"25","SINALOA","5","V","Mazatlán","474","507","44,560","67,871","1,496","12,281","552","560","115","1,660","1,229","21","4,072","134,417","177,877"
"25","SINALOA","6","VI","El Fuerte","527","533","23,874","64,810","528","13,544","646","1,175","78","712","195","175","3,191","108,928","142,156"
"25","SINALOA","7","VII","S. Alvarado","455","461","17,008","56,122","427","9,582","385","345","66","434","136","135","2,057","86,697","107,093"
"25","SINALOA","8","VIII","Culiacán","481","492","37,882","61,021","725","18,318","318","1,510","96","1,331","672","123","2,975","124,971","161,623"
"25","SINALOA","9","IX","Culiacán","430","432","26,366","54,500","566","12,936","218","1,154","82","1,136","501","210","2,163","99,832","135,894"
"26","SONORA","1","I","Magdalena Kino","248","385","46,647","76,045","416","5,559","201","197","186","2,817","425","9","3,034","135,536","178,271"
"26","SONORA","2","II","Hermosillo","163","326","59,575","52,188","363","8,314","1,105","591","1,054","8,803","1,297","476","3,263","137,029","177,452"
"26","SONORA","3","III","Guaymas","130","239","20,884","41,050","296","20,825","421","346","106","2,256","508","26","2,046","88,764","116,177"
"26","SONORA","4","IV","Navojoa","168","317","17,110","61,085","308","36,712","894","501","186","1,572","237","37","2,933","121,575","161,376"
"26","SONORA","5","V","San Luis Río C.","199","320","45,266","53,712","405","6,673","225","200","342","6,484","615","24","3,118","117,064","150,747"
"26","SONORA","6","VI","Hermosillo","199","317","41,596","53,030","291","6,090","756","482","459","4,276","692","23","2,755","110,450","146,483"
"26","SONORA","7","VII","Cajeme","219","372","41,270","64,653","544","27,503","545","413","202","2,295","851","23","2,797","141,096","190,194"
"27","TABASCO","1","I","Villahermosa","280","452","17,235","91,778","716","40,939","1,233","579","183","2,264","888","38","4,732","160,585","219,698"
"27","TABASCO","2","II","Centla","269","367","5,643","76,028","332","40,598","809","314","83","759","271","25","5,524","130,386","171,594"
"27","TABASCO","3","III","Cárdenas","219","331","3,280","63,316","458","49,909","875","405","87","855","310","332","4,585","124,412","162,011"
"27","TABASCO","4","IV","Comalcalco","201","310","3,473","61,055","341","33,127","453","314","68","816","289","74","4,261","104,271","155,742"
"27","TABASCO","5","V","Macuspana","163","251","3,741","50,952","370","28,624","308","314","127","709","226","47","4,382","89,800","115,121"
"28","TAMAULIPAS","1","I","Nuevo Laredo","156","260","20,785","47,878","507","14,341","1,153","7,996","347","1,230","687","28","3,510","98,462","130,071"
"28","TAMAULIPAS","2","II","Ciudad Reynosa","125","185","12,296","33,165","236","7,291","471","4,037","105","974","506","47","2,516","61,644","85,118"
"28","TAMAULIPAS","3","III","Matamoros","212","380","25,626","76,946","566","14,261","1,101","9,969","305","9,282","1,217","390","5,537","145,200","186,445"
"28","TAMAULIPAS","4","IV","Ciudad Victoria","198","330","41,507","52,360","294","6,244","497","652","232","1,146","346","55","2,408","105,741","152,837"
"28","TAMAULIPAS","5","V","Tampico","193","339","35,388","64,739","596","28,216","343","1,844","199","2,609","1,171","51","2,717","137,873","174,177"
"28","TAMAULIPAS","6","VI","Ciudad Madero","213","359","26,789","57,619","655","37,461","1,684","6,517","201","3,343","1,350","17","2,819","138,455","174,123"
"28","TAMAULIPAS","7","VII","Río Bravo","262","422","33,278","64,333","719","24,896","922","20,428","544","3,083","1,001","554","7,512","157,270","202,500"
"28","TAMAULIPAS","8","VIII","San Fernando","240","355","10,131","66,807","480","11,211","1,378","2,053","106","1,436","377","24","3,158","97,161","129,327"
"28","TAMAULIPAS","9","IX","Ciudad Mante","138","213","23,285","33,811","201","7,315","294","1,889","109","1,925","325","6","2,201","71,361","96,216"
"29","TLAXCALA","1","I","Tlaxcala","255","427","40,530","82,916","1,597","28,281","1,391","1,201","1,933","3,868","1,941","75","4,459","168,192","217,162"
"29","TLAXCALA","2","II","Apizaco","348","488","36,582","106,620","1,680","22,829","1,307","1,189","698","4,134","1,850","132","6,072","183,093","219,561"
"30","VERACRUZ","1","I","Tantoyuca","164","234","9,381","41,005","616","14,692","1,638","540","1,493","4,020","212","174","4,040","77,811","114,626"
"30","VERACRUZ","2","II","Tuxpan","151","250","19,430","52,368","828","12,591","2,771","504","293","2,558","669","57","4,044","96,113","122,983"
"30","VERACRUZ","3","III","Poza Rica","139","243","23,134","43,049","1,937","21,775","2,818","585","151","1,985","995","10","3,133","99,572","126,817"
"30","VERACRUZ","4","IV","Papantla","172","299","9,178","53,869","2,538","20,785","3,858","638","133","1,814","353","364","5,886","99,416","140,949"
"30","VERACRUZ","5","V","Misantla","249","331","9,066","53,844","833","19,050","1,673","633","89","758","378","38","3,295","89,657","153,432"
"30","VERACRUZ","6","VI","Jalapa","274","418","25,813","76,376","1,236","36,014","1,868","808","561","4,402","3,434","27","4,659","155,198","207,327"
"30","VERACRUZ","7","VII","Coatepec","286","386","20,426","77,668","756","29,857","2,008","745","307","2,063","1,313","45","4,129","139,317","184,965"
"30","VERACRUZ","8","VIII","Huatusco","212","358","13,372","87,598","1,431","17,670","906","847","2,641","1,172","590","58","6,995","133,280","173,737"
"30","VERACRUZ","9","IX","Orizaba","206","318","27,516","65,165","1,541","20,034","1,505","896","460","3,840","2,217","161","5,245","128,580","159,669"
"30","VERACRUZ","10","X","Córdoba","215","336","31,465","70,938","1,176","20,489","4,731","561","966","2,342","1,520","49","4,623","138,860","172,748"
"30","VERACRUZ","11","XI","Veracruz","174","297","34,836","62,082","976","12,082","685","1,065","151","3,305","1,200","41","2,326","118,749","153,714"
"30","VERACRUZ","12","XII","Cosamaloapán","258","371","21,694","85,684","1,542","19,142","1,117","893","298","1,641","585","43","5,227","137,866","182,833"
"30","VERACRUZ","13","XIII","Acayucán","182","333","9,417","57,906","1,670","31,188","1,785","698","124","907","615","102","5,129","109,541","161,124"
"30","VERACRUZ","14","XIV","Minatitlán","149","274","6,657","42,363","4,153","37,902","1,529","942","137","1,480","638","27","3,663","99,491","133,840"
"30","VERACRUZ","15","XV","Coatzacoalcos","238","383","13,024","48,785","1,412","75,733","2,571","3,426","335","1,865","1,820","13","4,269","153,253","201,040"
"30","VERACRUZ","16","XVI","Pánuco","218","284","12,868","49,838","1,388","23,132","846","1,126","242","1,717","393","31","3,371","94,952","126,201"
"30","VERACRUZ","17","XVII","Chicontepec","149","196","4,306","33,908","930","8,491","3,659","591","117","1,170","195","44","4,123","57,534","85,462"
"30","VERACRUZ","18","XVIII","Temapache","133","221","12,574","41,302","1,057","16,674","1,922","1,272","147","1,452","793","25","3,967","81,185","106,366"
"30","VERACRUZ","19","XIX","Martínez de la Torre","198","291","12,185","53,702","2,756","18,081","2,346","637","221","1,047","658","79","3,927","95,639","132,243"
"30","VERACRUZ","20","XX","Zongolica","208","298","9,361","63,693","1,051","20,360","1,760","761","229","1,336","672","129","8,496","107,848","143,839"
"30","VERACRUZ","21","XXI","Veracruz","282","431","47,652","88,654","1,310","18,013","1,626","897","303","3,535","1,745","680","4,666","169,081","216,468"
"30","VERACRUZ","22","XXII","San Andrés Tuxtla","197","312",,,,,,,,,,,,,"155,620"
"30","VERACRUZ","23","XXIII","Jaltipan","256","363","5,947","52,419","1,871","51,418","2,084","851","99","1,073","483","54","4,694","120,993","166,991"
"31","YUCATAN","1","I","Mérida","328","495","81,950","61,103","473","4,753","191","280","306","1,355","1,614","36","3,158","155,219","253,096"
"31","YUCATAN","2","II","Ticul","240","344","26,594","55,462","245","1,567","84","210","36","409","158","51","2,345","87,161","160,732"
"31","YUCATAN","3","III","Temax","239","307","26,988","65,236","130","2,545","69","143","91","308","135","324","2,416","98,385","141,454"
"31","YUCATAN","4","IV","Mérida","247","358","38,548","56,671","271","2,196","977","235","84","762","539","16","3,106","103,405","174,464"
"32","ZACATECAS","1","I","Zacatecas","351","366","23,922","57,891","546","7,937","312","492","389","6,901","877","23","2,310","101,600","128,887"
"32","ZACATECAS","2","II","Fresnillo","369","395","26,274","66,784","570","8,800","522","416","160","5,464","534","534","3,088","113,146","143,938"
"32","ZACATECAS","3","III","Juchipila","376","389","18,966","48,788","384","5,871","117","404","113","2,518","267","185","2,710","80,323","110,742"
"32","ZACATECAS","4","IV","Concepción del Oro","341","349","12,378","50,368","830","10,599","486","280","46","3,040","190","27","2,493","80,737","109,928"
"32","ZACATECAS","5","V","Guadalupe","430","460","27,115","81,649","1,319","14,561","732","584","184","5,993","665","407","4,392","137,601","180,770"
