"ESTADO","NOMBRE ESTADO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," AC"," PRI"," AM"," PCD"," PARM"," DSPPN"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"21","PUEBLA","12","Heroica Puebla de Zaragoza","166","338","70,855","38,951","13,059","1,600","1,134","3,448","358","2,177","131,582","190,860"
"21","PUEBLA","13","Acatlán de Osorio","172","306","14,805","47,332","15,347","387","409","323","16","2,894","81,513","145,402"
"21","PUEBLA","14","Izúcar de Matamoros","161","294","15,959","40,795","14,982","492","538","662","31","2,304","75,763","147,557"
"21","PUEBLA","15","Tehuacán","194","395","47,871","58,791","16,010","830","906","1,236","22","4,510","130,176","208,174"
"22","QUERETARO","1","Cadereyta de Montes","215","407","46,819","58,366","12,980","1,995","6,352","827","71","5,248","132,658","196,517"
"22","QUERETARO","2","San Juan del Río","182","411","71,147","56,830","11,220","1,888","5,663","2,166","62","4,809","153,785","227,721"
"22","QUERETARO","3","Querétaro","146","350","77,958","43,265","9,916","1,299","1,918","6,073","33","3,437","143,899","204,434"
"22","QUERETARO","4","Querétaro","144","298","75,968","32,348","7,544","1,534","1,549","3,524","16","1,614","124,097","171,687"
"23","QUINTANA ROO","1","Cancún","235","521","82,465","49,397","34,478","955","711","1,938","30","3,138","173,112","293,217"
"23","QUINTANA ROO","2","Chetumal","208","339","30,997","48,926","23,256","663","627","1,513","9","3,134","109,125","168,200"
"24","SAN LUIS POTOSI","1","Matehuala","322","418","33,027","54,764","12,791","407","560","804","82","4,249","106,684","174,579"
"24","SAN LUIS POTOSI","2","Soledad de Graciano Sánchez","290","435","59,525","50,806","8,172","1,930","779","2,211","131","4,205","127,759","209,896"
"24","SAN LUIS POTOSI","3","Río Verde","319","423","39,223","53,666","11,068","400","438","385","122","3,617","108,919","178,455"
"24","SAN LUIS POTOSI","4","Ciudad Valles","261","384","43,389","53,468","15,873","494","479","658","46","3,558","117,965","182,035"
"24","SAN LUIS POTOSI","5","San Luis Potosí","188","356","71,353","38,170","7,900","1,536","686","3,868","51","2,214","125,778","194,128"
"24","SAN LUIS POTOSI","6","San Luis Potosí","167","364","72,496","43,139","7,006","1,314","751","3,957","323","2,372","131,358","208,864"
"24","SAN LUIS POTOSI","7","Temazunchale","244","344","29,200","54,370","13,849","464","436","319","129","7,113","105,880","167,865"
"25","SINALOA","1","El Fuerte","592","609","17,195","71,477","17,283","395","300","243","160","2,661","109,714","178,411"
"25","SINALOA","2","Los Mochis","455","507","55,570","81,336","6,440","1,900","289","628","19","2,324","148,506","218,958"
"25","SINALOA","3","Navolato","479","503","21,392","58,754","16,978","364","331","501","323","1,948","100,591","158,234"
"25","SINALOA","4","Guasave","438","451","8,651","57,232","40,132","350","273","394","7","2,084","109,123","165,971"
"25","SINALOA","5","Culiacán","499","545","40,572","80,878","10,452","910","582","2,485","23","1,744","137,646","214,811"
"25","SINALOA","6","Mazatlán","453","506","25,668","64,386","12,186","335","996","604","63","2,110","106,348","173,599"
"25","SINALOA","7","Culiacán","517","541","39,765","74,415","10,497","600","597","1,716","45","2,418","130,053","214,103"
"25","SINALOA","8","Mazatlán","346","403","31,580","38,686","41,342","1,029","568","1,295","15","2,874","117,389","185,480"
"26","SONORA","1","San Luis Río Colorado","206","385","61,771","50,606","10,420","470","317","423","4","2,379","126,390","197,358"
"26","SONORA","2","Magdalena de Kino","234","440","68,712","57,772","6,727","270","257","349","27","2,361","136,475","231,222"
"26","SONORA","3","Hermosillo","130","317","75,009","34,906","6,794","791","330","928","4","1,321","120,083","184,505"
"26","SONORA","4","Guaymas","185","318","33,967","36,731","26,590","618","370","1,669","36","2,139","102,120","156,693"
"26","SONORA","5","Hermosillo","152","324","67,253","35,440","7,199","849","327","956","4","1,596","113,624","177,713"
"26","SONORA","6","Ciudad Obregón","219","421","43,787","57,794","33,525","539","474","921","19","2,113","139,172","225,082"
"26","SONORA","7","Navojoa","201","391","23,835","53,582","46,568","719","283","340","4","2,486","127,817","206,168"
"27","TABASCO","1","Frontera","241","386","19,509","53,918","36,500","604","422","717","18","2,840","114,528","185,498"
"27","TABASCO","2","Cárdenas","219","393","14,756","54,288","47,592","1,083","429","780","45","2,759","121,732","205,697"
"27","TABASCO","3","Comalcalco","193","362","12,510","51,531","53,117","797","312","643","44","2,892","121,846","192,759"
"27","TABASCO","4","Villahermosa","160","336","28,982","37,509","44,107","734","421","1,446","44","2,835","116,078","184,084"
"27","TABASCO","5","Macuspana","163","289","12,587","41,566","33,235","767","305","640","23","2,538","91,661","147,799"
"27","TABASCO","6","Villahermosa","157","317","37,648","38,305","24,970","875","503","1,815","314","2,101","106,531","173,458"
"28","TAMAULIPAS","1","Nuevo Laredo","220","434","60,450","56,599","6,912","647","4,627","749","18","2,684","132,686","243,605"
"28","TAMAULIPAS","2","Reynosa","203","436","71,699","60,494","9,931","603","3,066","948","172","3,625","150,538","249,370"
"28","TAMAULIPAS","3","San Fernando","260","423","36,301","63,755","18,337","447","966","488","17","3,380","123,691","196,097"
"28","TAMAULIPAS","4","H. Matamoros","211","468","66,680","72,285","9,140","570","1,954","972","111","3,702","155,414","264,301"
"28","TAMAULIPAS","5","Ciudad Victoria","237","433","48,526","78,740","7,022","866","409","767","13","2,379","138,722","211,458"
"28","TAMAULIPAS","6","El Mante","214","358","33,511","57,490","11,893","408","502","475","28","1,930","106,237","167,376"
"28","TAMAULIPAS","7","Ciudad Madero","196","392","52,460","55,392","22,843","804","948","1,421","24","2,628","136,520","211,673"
"28","TAMAULIPAS","8","Tampico","193","378","72,523","48,777","10,505","438","431","894","8","1,518","135,094","204,486"
"29","TLAXCALA","1","Apizaco","238","377","31,868","48,492","31,155","3,423","940","1,686","67","3,708","121,339","185,067"
"29","TLAXCALA","2","Tlaxcala","204","355","27,769","49,070","29,693","2,370","882","2,374","27","2,566","114,751","184,464"
"29","TLAXCALA","3","Chiautempan","165","344","31,809","39,632","32,127","1,469","705","1,748","34","2,551","110,075","193,081"
"30","VERACRUZ","1","Pánuco","247","359","23,949","48,492","21,348","513","720","343","36","2,642","98,043","165,405"
"30","VERACRUZ","2","Chicontepec de Tejeda","185","291","25,153","40,243","13,825","431","428","233","48","3,447","83,808","136,627"
"30","VERACRUZ","3","Tuxpan de Rodríguez Cano","159","288","34,154","43,600","12,609","724","895","541","4","2,126","94,653","149,758"
"30","VERACRUZ","4","Alamo","175","274","19,311","40,902","24,126","478","552","385","37","2,800","88,591","138,808"
"30","VERACRUZ","5","Poza Rica de Hidalgo","188","358","36,118","41,853","35,783","707","918","807","13","3,046","119,245","192,316"
"30","VERACRUZ","6","Papantla de Olarte","149","299","8,942","36,248","43,118","409","463","153","58","2,812","92,203","148,069"
"30","VERACRUZ","7","Martínez de la Torre","239","377","31,954","44,880","21,868","641","638","690","44","2,494","103,209","180,642"
"30","VERACRUZ","8","Misantla","215","322","23,749","39,903","22,223","422","463","440","10","1,939","89,149","151,969"
"30","VERACRUZ","9","Perote","156","284","20,383","53,387","12,686","676","626","633","55","2,897","91,343","146,119"
"30","VERACRUZ","10","Xalapa","253","473","58,499","50,271","41,850","2,794","1,478","5,101","50","2,854","162,897","245,387"
"30","VERACRUZ","11","Coatepec","203","339","41,058","39,978","20,864","787","636","1,053","24","2,172","106,572","168,439"
"30","VERACRUZ","12","Veracruz","284","548","114,119","50,529","24,411","786","622","1,552","54","2,676","194,749","297,486"
"30","VERACRUZ","13","Huatusco","167","322","41,693","51,755","15,795","513","413","403","19","2,849","113,440","167,851"
"30","VERACRUZ","14","Boca del Río","228","402","76,092","43,000","10,366","761","609","855","106","2,404","134,193","206,057"
"30","VERACRUZ","15","Orizaba","240","431","63,619","55,000","25,395","1,099","940","2,367","303","3,919","152,642","226,578"
"30","VERACRUZ","16","Córdoba","225","421","73,041","53,772","16,745","998","705","1,102","29","2,723","149,115","222,303"
"30","VERACRUZ","17","Cosamaloapan","218","353","46,416","41,149","17,721","896","596","429","26","2,764","109,997","178,601"
"30","VERACRUZ","18","Zongolica","172","283","21,761","40,389","19,348","533","539","400","27","4,279","87,276","143,564"
"30","VERACRUZ","19","San Andrés Tuxtla","205","392","28,191","53,926","31,358","751","595","444","73","3,138","118,476","208,209"
"30","VERACRUZ","20","Acayucan","201","376","32,997","46,993","23,362","621","672","364","54","3,085","108,148","188,713"
"30","VERACRUZ","21","Cosoleacaque","218","366","19,060","46,358","39,041","502","678","439","6","2,955","109,039","177,472"
"30","VERACRUZ","22","Coatzacoalcos","218","414","36,005","39,158","53,052","1,150","1,092","1,299","14","2,584","134,354","219,921"
"30","VERACRUZ","23","Minatitlán","171","331","16,015","39,533","36,044","619","786","522","34","2,493","96,046","172,530"
"31","YUCATAN","1","Valladolid","232","366","40,589","74,683","7,718","244","267","186","607","2,804","127,098","179,469"
"31","YUCATAN","2","Progreso","213","362","50,162","71,061","4,909","342","267","506","194","3,612","131,053","187,402"
"31","YUCATAN","3","Mérida","204","413","87,041","61,824","4,751","593","358","1,654","24","2,919","159,164","220,157"
"31","YUCATAN","4","Mérida","199","380","92,072","50,355","4,158","840","356","1,853","42","2,418","152,094","204,298"
"31","YUCATAN","5","Ticul","209","355","39,972","71,144","6,650","281","205","169","3","3,253","121,677","177,808"
"32","ZACATECAS","1","Fresnillo","449","515","23,147","39,992","41,418","1,624","637","678","36","2,761","110,293","181,096"
"32","ZACATECAS","2","Sombrerete","315","343","20,584","34,410","21,126","402","315","360","32","1,848","79,077","141,587"
"32","ZACATECAS","3","Zacatecas","309","399","24,305","33,077","46,054","813","597","2,415","71","2,847","110,179","174,251"
"32","ZACATECAS","4","Guadalupe","357","452","23,738","49,304","36,446","960","684","1,480","20","2,936","115,568","191,086"
"32","ZACATECAS","5","Juchipila","442","474","27,166","35,511","19,598","662","510","519","59","2,695","86,720","150,425"
