"ESTADO","NOMBRE ESTADO","DISTRITO","DISTRITO","CABECERA DISTRITAL","SECCIONES","CASILLAS"," PAN"," PRI"," PPS"," PRD"," PFCRN"," PARM"," PDM"," PRT"," PEM"," PT"," CANDIDATOS NO REGISTRADOS"," NULOS","TOTAL VOTOS","LISTA NOMINAL"
"17","MORELOS","1","I","Cuernavaca","202","268","9,752","44,427","1,018","8,832","3,526","3,375","882","861","3,795","457","27","2,711","79,663","119,420"
"17","MORELOS","2","II","Cuautla","199","267","4,213","47,231","745","6,855","1,136","2,639","777","478","881","352","45","3,917","69,269","121,980"
"17","MORELOS","3","III","Yautepec","283","364","5,069","54,609","916","11,307","4,673","3,500","732","909","1,701","842","103","4,013","88,374","161,909"
"17","MORELOS","4","IV","Jojutla","219","294","3,298","49,105","889","9,360","2,528","2,264","329","475","771","498","14","2,738","72,269","130,993"
"18","NAYARIT","1","I","Tepic","309","386","4,757","51,660","1,765","7,275","2,123","1,320","457","274","700","4,284","11","3,629","78,255","137,456"
"18","NAYARIT","2","II","Santiago Ixcuintla","256","299","946","34,104","1,231","12,887","1,295","695","208","165","84","1,661","6","3,246","56,528","96,229"
"18","NAYARIT","3","III","Compostela","312","379","2,023","49,060","1,392","4,445","1,323","1,293","352","201","333","1,989","13","2,783","65,207","116,475"
"19","NUEVO LEON","1","I","Monterrey","155","217","17,416","29,336","119","792","104","75","71","41","514","993","10","1,630","51,101","105,414"
"19","NUEVO LEON","2","II","Monterrey","110","125","5,393","13,058","40","268","97","36","101","31","148","321","12","1,465","20,970","44,872"
"19","NUEVO LEON","3","III","Monterrey","188","286","18,800","36,425","154","968","123","211","172","80","591","629","6","1,212","59,371","137,697"
"19","NUEVO LEON","4","IV","Guadalupe","74","125","8,757","15,444","46","676","68","64","75","29","231","461","2","643","26,496","63,429"
"19","NUEVO LEON","5","V","Linares","187","256","1,902","33,207","133","127","114","157","39","23","11","1,585","26","2,565","39,889","88,464"
"19","NUEVO LEON","6","VI","Sabinas Hidalgo","374","490","9,332","70,091","170","1,355","242","143","107","59","242","1,099","70","5,569","88,479","198,386"
"19","NUEVO LEON","7","VII","Garza García","251","470","25,380","60,029","286","1,016","114","181","206","85","506","4,812","13","6,950","99,578","237,127"
"19","NUEVO LEON","8","VIII","Monterrey","88","137","7,038","13,637","72","458","64","48","141","34","157","1,667","5","1,942","25,263","62,713"
"19","NUEVO LEON","9","IX","Guadalupe","198","371","13,092","47,865","141","701","231","158","116","70","337","1,310","19","3,555","67,595","183,093"
"19","NUEVO LEON","10","X","San Nicolás Garza","232","419","27,078","45,504","118","740","146","138","151","80","469","1,609","8","4,505","80,546","200,493"
"19","NUEVO LEON","11","XI","Santa Catarina","221","335","17,266","34,189","115","627","110","157","75","32","276","441","10","3,072","56,370","146,976"
"20","OAXACA","1","I","Juchitán","245","303","799","42,654","1,480","17,210","1,139","656","85","82","92","275","18","5,254","69,744","135,176"
"20","OAXACA","2","II","Ixtlan","221","284","1,845","59,293","2,521","2,523","953","2,620","350","1,814","249","417","102","1,346","74,033","114,884"
"20","OAXACA","3","III","Oaxaca","254","337","10,198","51,521","1,786","7,142","3,444","2,266","613","737","1,746","1,750","206","4,973","86,382","158,252"
"20","OAXACA","4","IV","Tuxtepec","236","297","3,369","50,183","1,272","4,132","1,442","2,354","168","2,704","132","602","18","3,254","69,630","125,528"
"20","OAXACA","5","V","Huautla","238","301","2,148","50,341","2,455","4,609","1,217","991","166","198","202","359","15","4,828","67,529","123,615"
"20","OAXACA","6","VI","Huajuapan","311","339","6,992","36,284","793","7,251","1,517","2,467","238","224","107","379","32","4,388","60,672","106,533"
"20","OAXACA","7","VII","Tlaxiaco","237","262","1,894","39,551","1,579","2,182","1,613","3,803","228","373","101","460","9","1,620","53,413","100,646"
"20","OAXACA","8","VIII","Pinotepa","209","261","1,497","49,525","1,107","4,072","1,578","4,733","299","262","455","412","15","4,140","68,095","124,311"
"20","OAXACA","9","IX","Ejutla","250","304","4,087","41,076","952","3,708","1,090","1,778","229","220","140","287","43","2,863","56,473","120,242"
"20","OAXACA","10","X","Tehuantepec","217","300","949","43,417","2,785","6,900","762","1,587","139","333","80","167","14","2,039","59,172","120,674"
"21","PUEBLA","1","I","Puebla","139","216","17,478","38,622","762","1,495","2,811","2,777","510","451","1,723","1,657","10","3,533","71,829","106,991"
"21","PUEBLA","2","II","Puebla","176","282","25,593","54,462","1,018","2,327","2,189","1,667","546","461","2,323","847","234","4,103","95,770","136,427"
"21","PUEBLA","3","III","Cholula","201","323","28,112","50,836","756","3,742","4,019","2,076","684","447","802","609","41","4,533","96,657","154,575"
"21","PUEBLA","4","IV","Atlixco","184","259","6,901","60,885","829","5,747","1,722","1,217","575","318","700","472","27","3,270","82,663","119,283"
"21","PUEBLA","5","V","Acatlán","194","291","3,879","58,585","698","4,948","6,473","1,030","234","142","193","265","8","2,683","79,138","115,201"
"21","PUEBLA","6","VI","Tehuacán","182","315","15,193","47,500","1,005","4,451","2,066","762","367","165","475","314","11","4,840","77,149","135,714"
"21","PUEBLA","7","VII","Chalchicomula","189","324","2,999","81,450","1,156","3,084","4,768","1,543","794","208","291","401","9","2,541","99,244","139,937"
"21","PUEBLA","8","VIII","Teziuatlán","175","339","8,626","44,630","6,876","6,467","1,179","1,337","544","293","542","827","36","6,443","77,800","144,155"
"21","PUEBLA","9","IX","Chignahuapan","180","295","3,763","70,996","1,650","2,686","2,756","1,786","450","642","324","593","4","4,321","89,971","132,232"
"21","PUEBLA","10","X","Huachinango","174","320","3,731","78,539","709","4,119","2,033","1,961","341","312","356","688","26","3,324","96,139","141,216"
"21","PUEBLA","11","XI","Puebla","150","257","20,912","57,214","1,097","2,138","3,150","2,404","716","447","2,085","1,150","39","5,950","97,302","129,637"
"21","PUEBLA","12","XII","Puebla","180","287","24,629","61,991","965","2,397","2,538","2,000","610","451","2,520","1,421","25","4,742","104,289","139,544"
"21","PUEBLA","13","XIII","Izucar","158","237","1,154","29,607","520","6,330","1,172","5,950","395","386","167","532","28","2,125","48,366","101,663"
"21","PUEBLA","14","XIV","Tepeaca","188","330","7,268","63,212","881","2,505","4,528","1,306","587","347","488","622","29","4,627","86,400","156,417"
"22","QUERETARO","1","I","Querétaro","290","410","33,904","87,608","1,704","4,208","1,990","984","1,625","279","1,992","1,330","44","4,233","139,901","185,713"
"22","QUERETARO","2","II","San Juan del Río","215","324","23,775","67,699","658","1,151","2,707","766","826","122","404","351","22","4,199","102,680","136,961"
"22","QUERETARO","3","III","El Marqués","181","310","6,713","57,614","472","2,067","2,210","479","668","102","250","237","198","2,926","73,936","101,568"
"23","QUINTANA ROO","1","I","Othon P. Blanco","171","201","4,090","38,931","683","3,860","2,264","932","236","45","304","62","39","2,300","53,746","85,947"
"23","QUINTANA ROO","2","II","Cozumel","269","328","9,059","46,864","409","2,681","1,086","456","220","31","155","119","56","3,247","64,383","122,318"
"24","SAN LUIS POTOSI","1","I","San Luis Potosí","211","313","56,133","41,586","463","687","363","1,245","883","115","520","109","39","4,021","106,164","142,937"
"24","SAN LUIS POTOSI","2","II","Matehuala","287","324","13,172","39,949","324","450","577","1,049","554","52","86","262","54","2,762","59,291","103,476"
"24","SAN LUIS POTOSI","3","III","Río Verde","284","328","14,495","46,817","494","413","438","1,283","1,324","87","22","358","21","4,064","69,816","118,780"
"24","SAN LUIS POTOSI","4","IV","Ciudad del Maíz","282","314","10,339","47,973","401","386","210","704","354","49","81","140","15","2,625","63,277","101,173"
"24","SAN LUIS POTOSI","5","V","Ciudad Valles","233","269","11,895","52,144","347","1,245","545","560","667","69","78","127","18","3,075","70,770","106,051"
"24","SAN LUIS POTOSI","6","VI","San Luis Potosí","257","345","40,799","45,875","639","389","377","921","873","49","280","127","51","3,127","93,507","138,307"
"24","SAN LUIS POTOSI","7","VII","Tamazunchale","228","302","9,726","54,823","550","3,173","512","1,280","1,471","145","99","309","59","7,317","79,464","123,751"
"25","SINALOA","1","I","Ahome","368","378","17,509","51,184","200","449","536","719","149","142","55","2,082","69","2,400","75,494","120,060"
"25","SINALOA","2","II","Guasave","439","443","9,500","49,390","420","14,184","959","2,087","114","154","123","309","12","2,603","79,855","113,793"
"25","SINALOA","3","III","Culiacán","280","283","15,312","27,206","179","1,253","112","149","23","255","243","176","8","973","45,889","68,717"
"25","SINALOA","4","IV","Mazatlán","326","334","14,499","39,554","577","944","125","214","231","79","251","201","27","2,532","59,234","93,738"
"25","SINALOA","5","V","Mazatlán","473","500","24,202","53,274","1,117","2,915","325","328","456","210","606","273","84","4,363","88,153","139,353"
"25","SINALOA","6","VI","El Fuerte","532","542","9,269","58,165","691","5,178","962","1,291","79","138","262","448","246","2,913","79,642","123,118"
"25","SINALOA","7","VII","S. Alvarado","458","487","10,399","48,633","785","3,127","322","439","52","224","103","363","16","2,256","66,719","91,757"
"25","SINALOA","8","VIII","Culiacán","481","489","26,080","45,799","418","2,231","299","1,324","125","475","79","253","30","2,727","79,840","130,286"
"25","SINALOA","9","IX","Culiacán","432","438","16,743","41,058","453","1,217","239","1,322","45","215","179","360","35","1,942","63,808","105,170"
"26","SONORA","1","I","Magdalena Kino","244","340","17,803","63,998","148","516","186","215","68","158","138","121","10","1,994","85,355","125,394"
"26","SONORA","2","II","Hermosillo","163","250","21,951","41,244","175","694","332","264","374","666","1,036","319","12","1,635","68,702","112,962"
"26","SONORA","3","III","Guaymas","129","219","18,844","27,308","263","2,230","227","3,051","106","145","89","237","2","2,576","55,078","81,518"
"26","SONORA","4","IV","Navojoa","159","300","2,901","52,369","471","8,432","755","591","115","920","56","1,196","36","3,559","71,401","125,661"
"26","SONORA","5","V","San Luis Río C.","199","297","28,698","53,186","285","2,099","203","147","73","62","70","323","33","3,220","88,399","118,076"
"26","SONORA","6","VI","Hermosillo","194","253","14,452","39,079","114","694","374","311","402","416","578","377","65","2,226","59,088","101,155"
"26","SONORA","7","VII","Cajeme","218","293","13,109","55,851","511","1,391","398","811","150","567","155","350","9","2,072","75,374","129,657"
"27","TABASCO","1","I","Villahermosa","279","357","3,589","70,026","1,386","11,350","2,678","825","947","88","249","123","216","5,071","96,548","168,045"
"27","TABASCO","2","II","Centla","268","366","1,350","49,875","680","13,832","997","417","377","37","247","189","249","4,623","72,873","143,682"
"27","TABASCO","3","III","Cárdenas","219","299","1,170","41,964","2,078","16,607","2,945","557","221","49","94","167","90","6,556","72,498","129,762"
"27","TABASCO","4","IV","Comalcalco","201","271","1,171","49,562","414","11,872","1,488","408","274","105","71","152","43","3,169","68,729","127,054"
"27","TABASCO","5","V","Macuspana","163","212","778","34,091","668","9,926","1,027","367","772","46","51","96","63","5,402","53,287","92,396"
"28","TAMAULIPAS","1","I","Nuevo Laredo","146","195","1,505","27,786","146","373","136","23,056","133","76","197","51","10","2,810","56,279","84,304"
"28","TAMAULIPAS","2","II","Ciudad Reynosa","125","158","1,840","25,221","70","369","210","10,036","266","57","23","206","29","1,418","39,745","64,057"
"28","TAMAULIPAS","3","III","Matamoros","209","313","2,016","59,897","253","886","706","20,956","431","144","44","203","32","4,339","89,907","132,164"
"28","TAMAULIPAS","4","IV","Ciudad Victoria","196","283","6,941","54,958","496","1,597","1,434","2,936","892","257","56","102","38","1,911","71,618","110,153"
"28","TAMAULIPAS","5","V","Tampico","186","305","49,082","36,047","640","2,784","1,041","2,220","261","611","41","223","22","3,708","96,680","142,132"
"28","TAMAULIPAS","6","VI","Ciudad Madero","205","313","12,619","49,142","931","14,058","2,565","3,977","330","306","66","463","42","2,775","87,274","130,856"
"28","TAMAULIPAS","7","VII","Río Bravo","254","377","5,516","54,060","311","2,082","1,163","28,276","1,634","207","341","600","51","4,319","98,560","150,635"
"28","TAMAULIPAS","8","VIII","San Fernando","232","352","817","63,072","118","858","2,788","1,770","259","69","19","129","38","1,684","71,621","107,756"
"28","TAMAULIPAS","9","IX","Ciudad Mante","136","203","12,677","34,355","110","770","569","988","142","18","9","43","13","2,217","51,911","80,875"
"29","TLAXCALA","1","I","Tlaxcala","250","374","6,396","75,776","1,299","5,777","3,321","1,260","4,020","1,056","578","456","58","2,234","102,231","173,783"
"29","TLAXCALA","2","II","Apizaco","343","449","11,756","83,337","1,224","7,532","4,084","2,319","1,639","976","588","854","258","5,175","119,742","175,703"
"30","VERACRUZ","1","I","Tantoyuca","160","220","2,854","40,570","773","1,370","3,083","514","1,643","185","101","3,251","14","3,548","57,906","104,239"
"30","VERACRUZ","2","II","Tuxpan","139","245","11,353","48,491","791","977","5,023","699","236","137","318","1,344","9","3,395","72,773","108,956"
"30","VERACRUZ","3","III","Poza Rica","135","219","3,016","45,361","2,953","2,159","8,265","1,165","267","1,392","751","311","22","3,670","69,332","104,676"
"30","VERACRUZ","4","IV","Papantla","168","324","1,076","57,289","4,043","1,335","4,849","538","268","258","202","437","23","3,780","74,098","127,458"
"30","VERACRUZ","5","V","Misantla","249","322","1,363","51,083","1,885","8,650","3,136","1,197","344","162","266","285","20","4,114","72,505","141,670"
"30","VERACRUZ","6","VI","Jalapa","273","362","7,341","68,338","2,869","8,320","6,562","1,944","789","1,833","3,418","657","66","5,118","107,255","175,092"
"30","VERACRUZ","7","VII","Coatepec","286","353","3,109","63,679","1,695","7,708","5,950","957","819","550","641","405","35","3,551","89,099","161,576"
"30","VERACRUZ","8","VIII","Huatusco","210","398","2,481","75,574","2,692","4,376","1,972","602","3,313","1,608","507","438","18","3,319","96,900","156,129"
"30","VERACRUZ","9","IX","Orizaba","202","281","11,719","55,685","3,581","3,759","5,149","957","732","442","892","428","47","4,721","88,112","134,874"
"30","VERACRUZ","10","X","Córdoba","214","309","7,292","70,578","1,498","3,248","4,448","635","1,674","285","741","317","22","5,008","95,746","145,420"
"30","VERACRUZ","11","XI","Veracruz","170","255","7,701","56,471","854","2,017","3,995","1,508","248","473","608","150","14","3,984","78,023","125,323"
"30","VERACRUZ","12","XII","Cosamaloapán","256","342","2,239","77,691","1,557","3,925","2,118","887","236","1,830","254","297","45","3,862","94,941","150,234"
"30","VERACRUZ","13","XIII","Acayucán","178","310","955","73,776","2,775","5,356","3,274","505","224","414","165","234","42","4,254","91,974","131,825"
"30","VERACRUZ","14","XIV","Minatitlán","145","243","1,695","43,960","3,863","4,856","4,747","1,923","462","323","370","329","35","3,889","66,452","109,570"
"30","VERACRUZ","15","XV","Coatzacoalcos","236","347","4,823","57,025","2,857","13,133","9,869","9,173","614","930","723","703","133","4,930","104,913","163,200"
"30","VERACRUZ","16","XVI","Pánuco","218","307","2,847","60,212","1,902","1,322","2,467","1,264","386","263","148","528","7","2,512","73,858","119,119"
"30","VERACRUZ","17","XVII","Chicontepec","147","190","1,346","41,476","518","1,384","2,204","399","221","74","80","403","8","3,773","51,886","84,024"
"30","VERACRUZ","18","XVIII","Temapache","128","214","1,519","49,017","1,467","1,415","4,974","1,447","290","208","191","664","22","3,066","64,280","95,707"
"30","VERACRUZ","19","XIX","Martínez de la Torre","201","293","1,448","47,169","4,506","3,691","4,362","704","288","301","263","303","9","3,609","66,653","117,026"
"30","VERACRUZ","20","XX","Zongolica","208","285","2,805","62,380","2,224","7,026","3,823","841","583","326","313","472","6","5,632","86,431","131,555"
"30","VERACRUZ","21","XXI","Veracruz","279","370","9,371","87,862","1,139","3,051","3,735","1,091","291","595","740","250","107","5,209","113,441","174,375"
"30","VERACRUZ","22","XXII","San Andrés Tuxtla","196","285","1,634","60,051","2,960","10,284","6,611","1,428","213","280","138","184","22","3,514","87,319","137,885"
"30","VERACRUZ","23","XXIII","Jaltipan","255","325","1,148","61,774","4,584","8,587","7,406","796","281","394","261","382","50","4,012","89,675","137,298"
"31","YUCATAN","1","I","Mérida","325","408","67,690","56,101","378","566","189","333","163","279","780","632","43","5,003","132,157","195,701"
"31","YUCATAN","2","II","Ticul","240","321","15,468","57,461","109","121","186","871","30","60","72","237","34","4,841","79,490","141,954"
"31","YUCATAN","3","III","Temax","238","289","18,381","60,113","75","44","81","111","16","237","35","614","7","2,780","82,494","129,600"
"31","YUCATAN","4","IV","Mérida","242","321","28,673","50,715","190","124","192","263","54","111","186","572","6","5,193","86,279","148,391"
"32","ZACATECAS","1","I","Zacatecas","351","353","7,692","50,878","633","5,297","1,358","660","738","336","481","4,586","17","2,637","75,313","102,263"
"32","ZACATECAS","2","II","Fresnillo","366","373","8,164","62,197","543","5,283","1,003","615","409","323","227","2,301","20","2,600","83,685","115,961"
"32","ZACATECAS","3","III","Juchipila","366","394","6,086","45,790","405","4,939","639","621","279","157","86","1,338","3","3,170","63,513","91,183"
"32","ZACATECAS","4","IV","Concepción del Oro","335","339","5,394","48,208","633","2,105","952","526","133","127","28","839","7","2,136","61,088","91,457"
"32","ZACATECAS","5","V","Guadalupe","426","433","5,691","69,576","1,353","8,213","2,208","943","387","315","272","3,676","27","4,097","96,758","147,114"
